t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01516146,-63.13856,0.05450712,0.5958477,0.3178614,0.09901369
0.03032292,-61.36446,0.05868012,0.595027,0.318411,0.09805507
0.04548438,-59.64961,0.06490639,0.5936404,0.3193253,0.09712295
0.06064584,-57.98145,0.07301581,0.5916481,0.320611,0.09621656
0.07580729,-56.35343,0.08298412,0.5890009,0.3222768,0.09533541
0.09096875,-54.7594,0.09459743,0.5856734,0.3243209,0.09447878
0.1061302,-53.19398,0.1077851,0.5816289,0.3267444,0.09364613
0.1212917,-51.64518,0.1226134,0.5768091,0.3295553,0.09283719
0.1359823,-50.13979,0.1386279,0.571342,0.3326574,0.09207594
0.1506729,-48.61628,0.1562928,0.5650435,0.3361393,0.09133698
0.1653635,-47.0477,0.1757494,0.5578423,0.3400183,0.09062085
0.1800542,-45.37828,0.1972158,0.549645,0.3443217,0.0899286
0.1963116,-43.38741,0.2238486,0.5392404,0.3496407,0.08919277
0.212569,-41.13002,0.2538822,0.5272606,0.355601,0.08849137
0.2288264,-38.43838,0.2880648,0.5134386,0.3623142,0.0878292
0.2450839,-35.21794,0.3279935,0.4973364,0.3699929,0.08721482
0.2568425,-32.46928,0.3614324,0.4840256,0.3762959,0.08680613
0.2686011,-29.23247,0.3993379,0.4692036,0.383353,0.08643258
0.2803597,-25.41399,0.4423879,0.4528519,0.391322,0.08610058
0.2921183,-20.89743,0.4910036,0.4351368,0.4003835,0.08581754
0.3005355,-17.16701,0.5293241,0.4217958,0.4076554,0.08564983
0.3089527,-13.02217,0.5703941,0.4081007,0.4156733,0.08551531
0.3173699,-8.493318,0.6136974,0.3942474,0.4245025,0.0854173
0.3257872,-3.617913,0.6584232,0.3804237,0.4341925,0.0853589
0.3342044,1.493428,0.7034897,0.3667935,0.444771,0.08534272
0.3426216,6.657717,0.7474721,0.3534647,0.4562153,0.08536996
0.3510388,11.68355,0.7889883,0.3405095,0.4684548,0.08544011
0.3594561,16.32601,0.8268749,0.3279669,0.4813749,0.08555106
0.3680071,20.43342,0.860754,0.3156603,0.4950362,0.08570155
0.3765582,23.855,0.8895682,0.303794,0.5090396,0.08588416
0.3851093,26.55169,0.9133222,0.292362,0.5231963,0.0860927
0.3936604,28.53355,0.9324452,0.2813539,0.5373395,0.08632122
0.4021709,29.83524,0.9475666,0.2708059,0.5512539,0.08656266
0.4106814,30.57924,0.9593533,0.2606518,0.5648864,0.08681277
0.4191919,30.87028,0.9683816,0.2508781,0.5781483,0.08706718
0.4277024,30.74574,0.9752467,0.2414715,0.5909744,0.08732219
0.4375321,30.15833,0.9811748,0.2310471,0.6051817,0.08761307
0.4473617,29.21948,0.9854346,0.2210756,0.6187003,0.08789642
0.4571913,27.99211,0.9884332,0.2115381,0.6315127,0.0881693
0.467021,26.5318,0.9905106,0.2024171,0.6436082,0.08842891
0.4771531,24.84943,0.9919546,0.1934337,0.6553244,0.08868008
0.4872851,23.01107,0.992869,0.1848567,0.6663032,0.08891339
0.4974172,21.03397,0.9933826,0.1766687,0.6765718,0.08912783
0.5075493,18.97332,0.9935664,0.1688544,0.6861474,0.08932185
0.5176814,16.86074,0.9934626,0.1613994,0.6950509,0.08949424
0.5278134,14.69833,0.9931271,0.1542887,0.7033213,0.08964497
0.5379455,12.51204,0.9925848,0.1475087,0.7109912,0.08977387
0.5480776,10.31009,0.9918298,0.1410475,0.7180878,0.08988053
0.5586756,8.003562,0.9907963,0.1346183,0.7249253,0.08996796
0.5692736,5.696746,0.9895148,0.128513,0.7311993,0.09003092
0.5798716,3.391641,0.987968,0.1227204,0.7369415,0.09006958
0.5904696,1.119994,0.9861217,0.1172306,0.74218,0.09008401
0.6001694,-0.9156068,0.9841379,0.1124638,0.7465565,0.09007621
0.6098691,-2.929363,0.9818536,0.1079361,0.7505571,0.09004876
0.6195689,-4.914834,0.9792395,0.1036416,0.7542014,0.09000199
0.6292686,-6.853876,0.9762584,0.0995749,0.7575077,0.08993619
0.638834,-8.733794,0.9729267,0.09578269,0.7604543,0.08985305
0.6483993,-10.59388,0.969159,0.09220318,0.7631036,0.08975203
0.6579646,-12.41562,0.9649046,0.08883289,0.7654688,0.08963336
0.66753,-14.19351,0.9601299,0.08566772,0.7675646,0.08949746
0.6835761,-17.09801,0.9508918,0.08080602,0.7705162,0.08923218
0.6996223,-19.88613,0.9398407,0.07649472,0.7728043,0.08892129
0.7156685,-22.55036,0.9267064,0.07271865,0.7744774,0.08856624
0.7317147,-25.13185,0.911362,0.06945561,0.7755866,0.08816907
