t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01042945,-63.92716,0.05330599,0.5960597,0.3177183,0.09931726
0.0208589,-62.82439,0.05438821,0.5958727,0.3178449,0.09864594
0.03128835,-61.74545,0.0561264,0.5955537,0.3180594,0.09798608
0.0417178,-60.6992,0.05847409,0.595097,0.3183634,0.09733743
0.05214726,-59.67177,0.0613898,0.594498,0.3187571,0.09669963
0.06257671,-58.6652,0.06484296,0.5937533,0.3192407,0.0960725
0.07300616,-57.67835,0.06881176,0.5928578,0.3198148,0.09545583
0.08343561,-56.70994,0.07327925,0.5918062,0.3204796,0.09484942
0.1073858,-54.54536,0.08534502,0.5887727,0.3223513,0.09349462
0.131336,-52.45148,0.09991083,0.584815,0.3247087,0.09219106
0.1552862,-50.40229,0.1169967,0.5798496,0.3275606,0.09093757
0.1792364,-48.35234,0.1366262,0.5737901,0.3309171,0.08973346
0.2051871,-46.05656,0.1608877,0.5658698,0.3351456,0.08848485
0.2311379,-43.60847,0.1887542,0.5563346,0.3400444,0.0872977
0.2570886,-40.87809,0.2210129,0.5448937,0.3457117,0.08617831
0.2830394,-37.65674,0.2587107,0.5311793,0.3522913,0.08513628
0.3018837,-34.85809,0.290398,0.5195319,0.3577667,0.08443658
0.320728,-31.51498,0.3267499,0.5061913,0.3639734,0.0837945
0.3395724,-27.4439,0.3687953,0.4910143,0.3710879,0.08322175
0.3584167,-22.44009,0.4177552,0.474015,0.3793519,0.08273427
0.377261,-16.32057,0.4748403,0.455424,0.3890584,0.08235173
0.3961054,-8.850637,0.5401233,0.4358926,0.400558,0.08209829
0.4149497,-0.1206613,0.611831,0.4161016,0.414133,0.0819967
0.433794,9.260773,0.6862821,0.3966236,0.4299389,0.08206546
0.4451761,14.81952,0.7302606,0.3851853,0.4405525,0.08219359
0.4565582,19.99155,0.7717298,0.3740291,0.4518489,0.08238288
0.4679403,24.5551,0.809586,0.3631703,0.4636951,0.0826275
0.4793224,28.35142,0.8431122,0.3526135,0.475938,0.08291987
0.4907045,31.32767,0.8719703,0.3423557,0.4884006,0.08325009
0.5020866,33.50375,0.8962912,0.3323918,0.5009372,0.08360962
0.5134687,34.93843,0.9164213,0.3227153,0.5134264,0.08399078
0.5248508,35.7719,0.9327996,0.3133195,0.5257455,0.08438496
0.5341522,36.11685,0.9437828,0.3058447,0.5356171,0.08471145
0.5434536,36.19668,0.9529476,0.2985482,0.5452902,0.08503989
0.5527551,36.05384,0.9605638,0.291426,0.5547441,0.08536829
0.5620565,35.73627,0.9668712,0.2844742,0.5639584,0.08569453
0.5718375,35.25898,0.9723282,0.2773435,0.5733737,0.08603332
0.5816185,34.65316,0.9767872,0.2703924,0.5825055,0.08636679
0.5913995,33.93804,0.9804225,0.2636165,0.5913517,0.08669395
0.6011805,33.13659,0.9833822,0.2570115,0.5999093,0.08701368
0.612639,32.1153,0.9861543,0.2494857,0.6095657,0.08737742
0.6240974,31.00972,0.9883206,0.2421824,0.6188337,0.08772897
0.6355559,29.8276,0.9900028,0.235095,0.6277223,0.08806765
0.6470143,28.58793,0.9912981,0.2282177,0.6362364,0.08839246
0.6594434,27.20043,0.9923522,0.2209885,0.6450548,0.08872798
0.6718725,25.76175,0.9931144,0.2139921,0.6534573,0.08904592
0.6843016,24.27262,0.9936419,0.2072214,0.6614595,0.08934599
0.6967306,22.75098,0.9939742,0.2006699,0.669071,0.08962737
0.7093329,21.19385,0.9941398,0.1942444,0.6763994,0.08989279
0.7219351,19.61226,0.9941626,0.1880309,0.6833553,0.09013843
0.7345374,18.00533,0.9940622,0.1820232,0.6899544,0.09036425
0.7471396,16.38701,0.9938457,0.1762155,0.6962074,0.09056978
0.7597942,14.76475,0.9935135,0.1705794,0.7021484,0.09075527
0.7724487,13.13668,0.9930773,0.1651337,0.7077679,0.0909202
0.7851032,11.50179,0.9925411,0.1598731,0.71308,0.09106469
0.7977577,9.869878,0.9918985,0.1547928,0.7180951,0.09118853
0.8104044,8.251777,0.9911411,0.1498913,0.7228198,0.09129147
0.823051,6.64013,0.9902706,0.1451608,0.7272717,0.09137399
0.8356977,5.034017,0.9892831,0.1405968,0.7314626,0.09143632
0.8483443,3.439752,0.9881658,0.1361957,0.7354016,0.09147843
0.8606769,1.902416,0.986937,0.1320575,0.7390086,0.09150002
0.8730096,0.3781415,0.9855671,0.1280674,0.7423948,0.09150273
0.8853422,-1.133718,0.9840471,0.1242224,0.7455693,0.09148682
0.8976748,-2.629809,0.9823614,0.1205198,0.7485396,0.09145238
0.9085828,-3.937379,0.9807187,0.1173617,0.7510021,0.09140656
0.9194908,-5.231952,0.9789269,0.1143113,0.7533161,0.09134655
0.9303989,-6.513713,0.9769763,0.1113671,0.7554867,0.09127254
0.9413069,-7.781678,0.9748546,0.1085275,0.7575183,0.09118462
0.9556122,-9.421505,0.9717891,0.1049604,0.759979,0.09104846
0.9699174,-11.03755,0.9683831,0.1015681,0.7622183,0.09088903
0.9842227,-12.63113,0.964611,0.09834785,0.7642458,0.09070676
0.998528,-14.20015,0.9604359,0.09529749,0.7660695,0.09050191
1.016064,-16.08729,0.9547112,0.09178737,0.7680378,0.09022041
1.033599,-17.9391,0.9482721,0.08852492,0.7697264,0.08990618
1.051135,-19.75767,0.9410586,0.08550582,0.7711488,0.08955992
1.06867,-21.54181,0.932993,0.08272665,0.7723165,0.08918216
1.092347,-23.90346,0.9206527,0.07934635,0.7735102,0.08862332
1.116025,-26.20542,0.9064328,0.07638641,0.7742845,0.08800939
1.139702,-28.44405,0.8901063,0.07383771,0.7746601,0.08734129
1.16338,-30.64019,0.871569,0.0716843,0.7746615,0.08662075
1.187724,-32.89125,0.8502269,0.06986092,0.7743001,0.0858275
1.212068,-35.09752,0.8260508,0.06843233,0.7735747,0.08498008
1.236412,-37.24166,0.7986523,0.06739237,0.7724929,0.08407807
1.260756,-39.37868,0.7682251,0.06671581,0.7710801,0.08312384
1.281726,-41.25187,0.7397661,0.06640658,0.7696151,0.08226157
1.302695,-43.11444,0.7087998,0.06635662,0.7679146,0.08136026
1.323665,-44.95696,0.6752127,0.06656396,0.7659815,0.0804195
1.344634,-46.79501,0.6392503,0.06701904,0.763827,0.07944022
1.366612,-48.72794,0.5993856,0.06775218,0.7613437,0.07837357
1.388589,-50.62806,0.5572985,0.06875293,0.7586309,0.07726494
1.410567,-52.46761,0.5133365,0.07002063,0.7556971,0.07611476
1.432544,-54.23466,0.4683212,0.07154516,0.7525598,0.07492505
1.456216,-56.03738,0.4197955,0.07346043,0.7489765,0.07360232
1.479888,-57.68367,0.3721131,0.07565259,0.7451996,0.07223901
1.503559,-59.1397,0.3263406,0.07810428,0.7412551,0.07083877
1.527231,-60.39332,0.2836968,0.08078537,0.7371754,0.06940665
1.551257,-61.45785,0.2446841,0.08370447,0.7329311,0.06792611
1.575283,-62.31222,0.2102964,0.08679152,0.728609,0.06642289
1.599309,-62.96994,0.1806587,0.0900118,0.7242358,0.0649016
1.623335,-63.45669,0.1557354,0.09332798,0.7198378,0.06336691
1.648416,-63.81447,0.1344165,0.09685391,0.7152456,0.06175503
1.673497,-64.04227,0.1172559,0.1004181,0.7106683,0.06013622
1.698578,-64.16403,0.1036529,0.1039958,0.7061207,0.05851324
1.723659,-64.20272,0.09305934,0.1075644,0.7016166,0.05688868
1.749804,-64.17567,0.08463382,0.1112543,0.6969799,0.05519577
1.775948,-64.0938,0.07834802,0.1149015,0.6924089,0.05350474
1.802093,-63.96913,0.07378012,0.1184955,0.6879095,0.05181676
1.828237,-63.81189,0.07056823,0.122027,0.6834871,0.05013291
1.854382,-63.63001,0.06841597,0.1254887,0.6791458,0.04845405
1.880526,-63.42861,0.06711294,0.1288771,0.6748875,0.04678063
1.906671,-63.2119,0.06649026,0.1321888,0.6707139,0.04511309
1.932815,-62.98344,0.06640438,0.1354211,0.6666265,0.04345181
1.963482,-62.70421,0.06683869,0.1391085,0.6619435,0.04151156
1.994149,-62.41549,0.06774005,0.1426824,0.6573812,0.03958061
2.024816,-62.11956,0.06901501,0.146142,0.6529397,0.03765918
2.055483,-61.81844,0.07058696,0.1494863,0.6486195,0.0357475
2.09526,-61.42284,0.07298074,0.1536514,0.6431966,0.03328271
2.135037,-61.02309,0.07570173,0.1576228,0.6379761,0.03083471
2.174814,-60.62061,0.07868913,0.1614019,0.6329562,0.02840356
2.214591,-60.21712,0.0819062,0.1649894,0.6281359,0.0259894
2.265259,-59.70424,0.08631355,0.1692822,0.6222827,0.02293905
2.315927,-59.19255,0.09099473,0.1732705,0.6167451,0.01991618
2.366595,-58.68237,0.0958998,0.1769597,0.6115169,0.01692053
2.417263,-58.17561,0.1010491,0.1803519,0.6065945,0.01395213
2.467931,-57.67402,0.1064688,0.1834489,0.601974,0.01101098
2.518599,-57.17625,0.1120912,0.1862575,0.597648,0.008096615
2.569267,-56.68177,0.1178909,0.1887827,0.5936099,0.005208723
2.619934,-56.19139,0.1238981,0.191027,0.5898554,0.002347214
