t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.07611777,-64.82279,0.05300951,0.5961071,0.3176862,0.09498413
0.1522355,-64.62419,0.05327436,0.5960596,0.3177186,0.08998676
0.2283533,-64.37662,0.05374891,0.5959709,0.3177789,0.08501095
0.3044711,-64.10752,0.05441665,0.5958367,0.3178699,0.08005841
0.3769537,-63.85534,0.05520257,0.5956553,0.3179903,0.07536519
0.4494363,-63.58391,0.05613613,0.5954398,0.3181365,0.07069449
0.5219189,-63.31149,0.05720588,0.5952034,0.3183026,0.06604565
0.5944015,-63.08915,0.05837959,0.5949199,0.3184986,0.06141795
0.6443383,-63.00249,0.0592208,0.5946863,0.3186546,0.05824047
0.6942751,-62.88492,0.06005423,0.5944432,0.3188171,0.05506985
0.7442119,-62.68135,0.06088891,0.5941909,0.3189865,0.05190729
0.7941487,-62.45247,0.06179242,0.5939122,0.3191728,0.04875651
0.8440854,-62.22922,0.06280172,0.5935965,0.3193821,0.04561931
0.8940222,-61.96889,0.06390167,0.5932515,0.3196106,0.04249602
0.943959,-61.7119,0.06509923,0.5928758,0.3198596,0.0393878
0.9938958,-61.50315,0.06636606,0.592469,0.3201283,0.03629298
1.052305,-61.30271,0.06787802,0.5919549,0.3204646,0.03268673
1.110714,-61.09729,0.06940826,0.5914169,0.3208174,0.02909425
1.169123,-60.88028,0.07096553,0.5908611,0.3211847,0.02551559
1.227532,-60.633,0.0725778,0.5902675,0.3215746,0.02195248
1.290072,-60.44478,0.0743973,0.5895697,0.3220256,0.01815607
1.352613,-60.17705,0.07626592,0.5888385,0.3224987,0.01437749
1.415154,-59.6988,0.0782093,0.5880745,0.3229952,0.01061944
1.477694,-59.27399,0.08038334,0.5872333,0.323538,0.006889875
1.531549,-59.153,0.08241023,0.5864302,0.3240471,0.00369867
1.585404,-58.89151,0.08445748,0.5856107,0.3245691,0.0005207624
1.639258,-58.37974,0.08663087,0.5847722,0.3251097,-0.002637289
1.693113,-57.88654,0.08906714,0.5838491,0.3256987,-0.005768021
1.744047,-57.5945,0.09158657,0.5828706,0.3263088,-0.008705756
1.794982,-57.32797,0.09415283,0.5818611,0.326939,-0.01162817
1.845916,-57.07837,0.09675471,0.5808314,0.3275859,-0.01453494
1.896851,-56.74007,0.09943453,0.5797489,0.328261,-0.017425
1.94664,-56.4101,0.1022169,0.5785933,0.3289655,-0.02023136
1.996429,-56.10703,0.1050898,0.5774113,0.3296903,-0.02302044
2.046218,-55.6944,0.1080244,0.5762303,0.3304265,-0.02579225
2.096007,-55.20892,0.111165,0.5749649,0.331206,-0.02854135
2.144246,-54.7296,0.1145132,0.5736024,0.3320237,-0.03117912
2.192484,-54.31552,0.1180545,0.5721657,0.3328808,-0.03379482
2.240723,-53.988,0.1217506,0.57066,0.3337741,-0.03638979
2.288962,-53.55648,0.1255955,0.5690832,0.3347036,-0.0389646
2.335637,-52.94606,0.1295643,0.5674671,0.3356483,-0.04143209
2.382313,-52.35754,0.1338804,0.5657399,0.3366488,-0.04387095
2.428988,-51.79766,0.1385555,0.5638948,0.3377076,-0.04628035
2.475663,-51.1189,0.1436053,0.5619235,0.3388275,-0.04865926
2.522148,-50.33596,0.1491007,0.5598098,0.3400146,-0.05099375
2.568632,-49.50576,0.1551509,0.557521,0.3412838,-0.05328954
2.615117,-48.53402,0.1618242,0.5550341,0.3426435,-0.05554357
2.661602,-47.45398,0.1692636,0.5523065,0.3441109,-0.05774955
2.710611,-46.23301,0.1781062,0.549117,0.3457949,-0.06001596
2.75962,-44.78488,0.1881048,0.5455582,0.3476361,-0.06221587
2.808629,-43.05909,0.1995059,0.5415501,0.3496639,-0.06433937
2.857639,-41.11033,0.2126748,0.5369768,0.3519212,-0.06637249
2.902473,-39.08523,0.2265979,0.5321961,0.3542266,-0.068141
2.947307,-36.66941,0.2426364,0.5267345,0.356802,-0.06980987
2.99214,-33.77488,0.261313,0.5204525,0.3597113,-0.07135977
3.036974,-30.25345,0.2833353,0.5132079,0.3630411,-0.07276551
3.075175,-26.65879,0.3053272,0.5061913,0.3662867,-0.07382756
3.113375,-22.38119,0.3309957,0.4983742,0.3700005,-0.07473868
3.151575,-17.28927,0.3610268,0.4898177,0.3742866,-0.07546942
3.189775,-11.35306,0.3959205,0.4806932,0.3792508,-0.0759896
3.202298,-9.210971,0.408478,0.4776196,0.3810442,-0.07610896
3.214821,-6.973989,0.421599,0.4745162,0.3829265,-0.07620091
3.227344,-4.657062,0.4352789,0.4713903,0.3849014,-0.07626429
3.239867,-2.234093,0.4495084,0.4682496,0.3869724,-0.07629795
3.25239,0.2974811,0.4642793,0.4651009,0.3891436,-0.0763005
3.264913,2.898778,0.4795636,0.4619492,0.3914178,-0.07627093
3.277436,5.563638,0.49532,0.4587995,0.3937964,-0.07620853
3.289959,8.284743,0.5115075,0.455656,0.3962814,-0.07611243
3.301162,10.74851,0.5263121,0.4528518,0.3985954,-0.07599737
3.312364,13.2104,0.5413722,0.4500572,0.4009947,-0.0758547
3.323567,15.64946,0.5566353,0.4472739,0.4034783,-0.07568448
3.33477,18.04798,0.5720394,0.4445031,0.4060433,-0.07548715
3.347419,20.7036,0.5895219,0.4413907,0.4090336,-0.07523251
3.360069,23.22889,0.6070104,0.4382966,0.4121184,-0.07494518
3.372718,25.57145,0.6244072,0.4352215,0.4152904,-0.07462685
3.385368,27.77359,0.6416139,0.4321661,0.4185406,-0.07427969
3.39864,29.96514,0.6593693,0.4289819,0.4220256,-0.07388674
3.411912,31.94415,0.6767459,0.4258198,0.4255799,-0.07346614
3.425184,33.6825,0.6936667,0.4226801,0.4291934,-0.07302047
3.438456,35.19984,0.7100538,0.4195629,0.4328535,-0.07255315
3.45213,36.59638,0.7263064,0.4163749,0.4366591,-0.07205301
3.465804,37.74193,0.7418963,0.4132107,0.4404935,-0.07153553
3.479478,38.59853,0.7568025,0.4100702,0.4443486,-0.07100297
3.493152,39.2917,0.7709856,0.4069533,0.4482101,-0.07045957
3.504278,39.8029,0.7819815,0.4044345,0.4513495,-0.07001167
3.515405,40.21149,0.7925065,0.4019312,0.4544858,-0.06955873
3.526532,40.53412,0.8025666,0.3994433,0.457616,-0.0691017
3.537658,40.80028,0.8121707,0.3969708,0.4607373,-0.06864144
3.552314,41.10675,0.824142,0.3937373,0.46483,-0.06803183
3.56697,41.31873,0.8353807,0.3905302,0.4689015,-0.06741844
3.581626,41.42068,0.8459264,0.3873491,0.4729506,-0.06680166
3.596282,41.46895,0.8558025,0.3841939,0.4769707,-0.06618365
3.609134,41.48323,0.8639387,0.3814481,0.4804704,-0.0656414
3.621987,41.48769,0.8716125,0.3787219,0.4839453,-0.06509917
3.63484,41.51251,0.8788429,0.3760152,0.4873926,-0.06455792
3.647693,41.50077,0.8856605,0.3733278,0.4908149,-0.06401688
3.658802,41.42951,0.8912418,0.3710207,0.493754,-0.06354899
3.66991,41.35919,0.8965427,0.3687279,0.4966727,-0.06308196
3.681019,41.30172,0.9015761,0.3664492,0.4995703,-0.06261599
3.692128,41.24258,0.9063575,0.3641847,0.5024481,-0.06215079
3.704381,41.15453,0.9113552,0.3617031,0.5055998,-0.06163843
3.716633,41.06242,0.9160769,0.3592385,0.5087269,-0.06112719
3.728886,40.97091,0.9205379,0.3567906,0.5118298,-0.06061712
3.741139,40.86199,0.9247524,0.3543596,0.5149081,-0.06010835
3.758407,40.65694,0.9302976,0.3509616,0.5192037,-0.05939406
3.775675,40.42843,0.9354117,0.3475964,0.5234479,-0.05868367
3.792943,40.20249,0.9401277,0.3442635,0.5276404,-0.05797753
3.810211,39.99543,0.9444785,0.3409627,0.5317828,-0.05727531
3.822873,39.86321,0.9474536,0.3385625,0.5347887,-0.05676295
3.835535,39.70373,0.9502591,0.3361792,0.5377688,-0.05625246
3.848197,39.49647,0.952906,0.3338128,0.5407242,-0.05574358
3.860859,39.29007,0.9554009,0.331463,0.5436526,-0.05523723
3.873521,39.1409,0.9577491,0.3291299,0.546551,-0.05473464
3.886183,38.97707,0.9599644,0.3268133,0.5494245,-0.05423394
3.898846,38.76002,0.9620569,0.324513,0.552276,-0.05373421
3.911508,38.52229,0.9640297,0.322229,0.5551011,-0.05323714
3.921734,38.34471,0.9655377,0.320396,0.5573612,-0.05283862
3.931961,38.17477,0.9669757,0.3185736,0.5596042,-0.0524419
3.942188,38.01122,0.9683467,0.3167615,0.5618303,-0.05204703
3.952415,37.83447,0.9696542,0.3149598,0.5640395,-0.05165395
3.96504,37.58363,0.9711855,0.3127498,0.5667445,-0.05117095
3.977665,37.34093,0.9726289,0.3105554,0.5694232,-0.05069118
3.99029,37.12121,0.9739886,0.3083765,0.5720746,-0.05021511
4.002915,36.89959,0.9752709,0.306213,0.5747008,-0.04974202
4.014454,36.69755,0.9763792,0.3042488,0.5770796,-0.04931213
4.025993,36.48608,0.97743,0.3022974,0.579438,-0.04888462
4.037532,36.23799,0.978427,0.3003585,0.5817774,-0.04845905
4.049072,35.98095,0.9793718,0.2984321,0.5840956,-0.04803631
4.059549,35.74232,0.9801859,0.2966938,0.5861816,-0.04765523
4.070027,35.52092,0.980961,0.2949656,0.5882502,-0.04727661
4.080504,35.34257,0.9816986,0.2932476,0.590301,-0.04690069
4.090981,35.14513,0.9824012,0.2915397,0.5923354,-0.0465269
4.100539,34.90615,0.9830135,0.2899905,0.5941777,-0.04618752
4.110096,34.68185,0.9835986,0.2884496,0.5960055,-0.0458504
4.119653,34.48918,0.9841576,0.286917,0.5978186,-0.04551565
4.12921,34.29354,0.9846921,0.2853925,0.5996181,-0.04518286
4.138828,34.08473,0.9852065,0.2838667,0.6014156,-0.04484985
4.148446,33.87061,0.9856982,0.282349,0.6031994,-0.04451889
4.158064,33.63335,0.9861682,0.2808396,0.6049698,-0.0441899
4.167682,33.3986,0.9866172,0.2793382,0.6067262,-0.04386315
4.177923,33.18725,0.987073,0.2777485,0.6085809,-0.04351781
4.188165,32.96857,0.9875073,0.2761678,0.6104208,-0.04317472
4.198407,32.71779,0.9879213,0.2745962,0.612246,-0.04283386
4.208648,32.45806,0.9883152,0.2730337,0.6140557,-0.04249558
4.220204,32.18909,0.9887364,0.2712815,0.6160783,-0.04211742
4.231759,31.91874,0.9891348,0.2695406,0.6180821,-0.04174238
4.243315,31.63824,0.989512,0.267811,0.6200677,-0.04137017
4.25487,31.35752,0.9898685,0.2660927,0.6220346,-0.04100118
4.26682,31.07991,0.9902159,0.2643274,0.6240481,-0.04062338
4.27877,30.79177,0.9905435,0.2625739,0.6260421,-0.04024899
4.29072,30.48277,0.9908523,0.2608322,0.6280167,-0.03987797
4.30267,30.16787,0.9911429,0.2591022,0.6299713,-0.03951066
4.316522,29.82452,0.9914577,0.2571115,0.6322118,-0.03908975
4.330374,29.48686,0.9917509,0.2551362,0.6344267,-0.03867361
4.344226,29.13916,0.9920236,0.2531764,0.636616,-0.03826223
4.358077,28.7811,0.9922768,0.2512317,0.6387799,-0.03785576
4.37025,28.46893,0.992484,0.2495353,0.6406604,-0.03750273
4.382423,28.15836,0.9926776,0.2478506,0.6425215,-0.03715355
4.394596,27.84635,0.9928584,0.2461773,0.6443635,-0.03680817
4.406769,27.53771,0.9930269,0.2445156,0.6461866,-0.03646661
4.418942,27.23178,0.9931834,0.2428652,0.6479903,-0.03612912
4.431115,26.91555,0.9933288,0.2412262,0.6497755,-0.03579541
4.443288,26.58805,0.993464,0.2395984,0.6515429,-0.03546519
4.455461,26.25753,0.993589,0.2379818,0.6532918,-0.03513895
4.466955,25.9446,0.9936971,0.2364656,0.6549251,-0.03483509
4.478449,25.64134,0.9937969,0.2349593,0.6565422,-0.03453474
4.489943,25.34906,0.9938891,0.2334627,0.6581439,-0.03423759
4.501437,25.03481,0.9939736,0.2319758,0.6597297,-0.03394395
4.510971,24.74851,0.9940376,0.2307499,0.6610325,-0.03370332
4.520505,24.47239,0.9940964,0.2295306,0.6623239,-0.03346541
4.530038,24.21085,0.99415,0.2283179,0.6636039,-0.03323025
4.539572,23.95249,0.9941988,0.2271118,0.6648732,-0.03299762
4.549106,23.69748,0.9942434,0.2259121,0.6661322,-0.03276721
4.558639,23.44256,0.9942835,0.224719,0.6673807,-0.03253931
4.568173,23.17561,0.9943191,0.2235323,0.6686182,-0.03231409
4.577707,22.90608,0.9943504,0.2223521,0.6698451,-0.03209147
4.588022,22.61674,0.9943797,0.2210824,0.6711609,-0.03185339
4.598336,22.32841,0.9944042,0.2198201,0.6724644,-0.03161831
4.608651,22.04787,0.9944242,0.2185653,0.673756,-0.03138619
4.618966,21.76649,0.9944398,0.2173178,0.6750356,-0.03115701
4.634056,21.37315,0.9944548,0.215506,0.6768862,-0.03082715
4.649146,20.95113,0.9944609,0.2137097,0.6787118,-0.03050356
4.664236,20.46432,0.9944587,0.2119289,0.6805127,-0.03018627
4.679326,20.00081,0.9944472,0.2101635,0.6822877,-0.02987602
4.692079,19.6713,0.9944306,0.2086833,0.6837681,-0.02961919
4.704832,19.32279,0.9944085,0.207214,0.6852315,-0.02936677
4.717585,18.95141,0.9943808,0.2057553,0.6866778,-0.02911903
4.730338,18.59136,0.9943474,0.2043074,0.6881069,-0.02887596
4.742442,18.27085,0.9943113,0.2029429,0.6894482,-0.02864928
4.754546,17.92321,0.9942704,0.2015879,0.6907745,-0.02842674
4.76665,17.55387,0.9942244,0.2002423,0.6920853,-0.02820868
4.778754,17.21369,0.9941734,0.1989062,0.693381,-0.02799495
4.790858,16.90348,0.9941182,0.1975793,0.6946625,-0.0277852
4.802962,16.55556,0.9940586,0.1962617,0.6959296,-0.02757949
4.815066,16.1806,0.9939947,0.1949533,0.6971824,-0.02737793
4.82717,15.82719,0.9939259,0.1936541,0.6984205,-0.02718077
4.838082,15.53196,0.9938599,0.1924906,0.6995243,-0.02700673
4.848995,15.23002,0.9937905,0.1913344,0.7006169,-0.02683594
4.859907,14.92785,0.9937178,0.1901856,0.7016984,-0.02666846
4.870819,14.61602,0.9936416,0.189044,0.7027687,-0.02650435
