t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.02131546,-64.9882,0.05293143,0.5961188,0.317678,0.09859345
0.04263093,-64.97578,0.05294062,0.596117,0.3176793,0.09718744
0.06394639,-64.97072,0.0529649,0.5961171,0.3176799,0.09578195
0.08526185,-64.96928,0.05299099,0.596116,0.3176812,0.09437684
0.1065773,-64.96678,0.05300298,0.5961128,0.3176833,0.09297188
0.1278928,-64.98717,0.05300438,0.5961111,0.3176845,0.09156699
0.1492082,-65.02826,0.05299371,0.5961113,0.3176843,0.09016209
0.1705237,-65.04443,0.05296453,0.5961149,0.3176819,0.08875695
0.1955055,-65.02204,0.0529418,0.5961186,0.3176793,0.08711042
0.2204873,-64.99762,0.05294419,0.5961197,0.3176785,0.08546491
0.2454691,-64.97085,0.05295116,0.5961202,0.3176783,0.0838203
0.2704509,-64.96025,0.05296964,0.5961177,0.3176802,0.08217653
0.2949536,-64.91281,0.05301463,0.5961096,0.3176857,0.08056522
0.3194563,-64.88181,0.05308059,0.5960968,0.3176944,0.07895509
0.3439591,-64.94165,0.05314267,0.5960826,0.3177041,0.07734561
0.3684618,-65.01062,0.05314974,0.5960761,0.3177085,0.07573528
0.3952584,-65.04523,0.05311268,0.5960762,0.3177082,0.07397294
0.422055,-65.02879,0.05308492,0.5960804,0.3177053,0.07221104
0.4488515,-64.91666,0.05308181,0.596087,0.317701,0.07045063
0.4756481,-64.81351,0.05316514,0.5960761,0.3177086,0.06869327
0.499392,-64.80265,0.05330965,0.5960466,0.3177287,0.0671386
0.5231359,-64.76099,0.05346197,0.5960125,0.3177517,0.06558505
0.5468797,-64.6744,0.05362948,0.5959728,0.3177787,0.06403282
0.5706236,-64.62176,0.05382901,0.5959239,0.3178118,0.06248243
0.5968437,-64.59412,0.05407007,0.5958621,0.3178536,0.06077206
0.6230638,-64.57794,0.05428798,0.5957984,0.3178966,0.05906252
0.6492838,-64.62163,0.05446736,0.5957345,0.3179395,0.05735354
0.6755039,-64.6433,0.05459552,0.5956746,0.3179797,0.05564441
