t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01462883,-64.0471,0.05339563,0.5960444,0.3177285,0.09904148
0.02925766,-63.04017,0.05471627,0.5958109,0.3178867,0.09809742
0.04388649,-62.05468,0.05680429,0.5954128,0.3181554,0.09716812
0.05851531,-61.10324,0.05958698,0.5948411,0.318537,0.09625323
0.07314414,-60.16656,0.06299898,0.5940909,0.3190316,0.09535222
0.08777297,-59.24751,0.06698862,0.5931606,0.3196383,0.09446491
0.1024018,-58.34455,0.07152246,0.5920448,0.3203575,0.09359105
0.1170306,-57.45581,0.07657434,0.5907381,0.3211895,0.09273043
0.1431716,-55.89489,0.08682596,0.5879098,0.3229574,0.09122483
0.1693126,-54.35928,0.09864347,0.5844128,0.3250904,0.08976004
0.1954535,-52.83144,0.112061,0.5801973,0.3275963,0.08833578
0.2215945,-51.28296,0.1271208,0.5752071,0.3304849,0.08695208
0.250855,-49.47702,0.1460599,0.5686137,0.3341932,0.0854523
0.2801155,-47.54438,0.1676114,0.5608046,0.3384479,0.08400733
0.309376,-45.39758,0.1924241,0.5515473,0.3433262,0.08262262
0.3386364,-42.89594,0.2213666,0.5405239,0.3489391,0.08130621
0.3632569,-40.37937,0.2499354,0.5295526,0.3543605,0.08026073
0.3878774,-37.31321,0.283613,0.5165831,0.3605786,0.07928343
0.4124979,-33.44962,0.3240358,0.5011548,0.3678283,0.07839058
0.4371184,-28.46273,0.3735583,0.4828055,0.37647,0.07760635
0.4537553,-24.2601,0.4135788,0.4685939,0.3833391,0.07715404
0.4703921,-19.18002,0.4597852,0.4530728,0.3912598,0.07677898
0.487029,-13.09953,0.5124601,0.4365568,0.4004474,0.07649617
0.5036659,-6.019773,0.5712121,0.4195143,0.4111303,0.07632258
0.5203028,1.90867,0.6346976,0.4024698,0.4235113,0.07627504
0.5369397,10.17719,0.6992583,0.3857527,0.4376302,0.07636322
0.5535765,18.10354,0.7608772,0.3695668,0.4533487,0.07658654
0.5702134,24.93744,0.8160071,0.3540001,0.470353,0.07693343
0.5797355,28.10438,0.8435288,0.3453708,0.4804821,0.07717896
0.5892576,30.69477,0.8678651,0.3369463,0.4907774,0.07745186
0.5987797,32.71209,0.8890306,0.3287237,0.5011501,0.07774689
0.6083018,34.20181,0.9071691,0.3206999,0.5115152,0.07805861
0.6178238,35.23808,0.9225395,0.3128707,0.5217965,0.07838184
0.6273459,35.87632,0.9354592,0.3052321,0.5319445,0.07871302
0.636868,36.17374,0.9462429,0.2977796,0.5419191,0.07904899
0.6463901,36.19859,0.9551868,0.2905093,0.5516817,0.07938648
0.6559007,36.0139,0.9625691,0.2834253,0.5611919,0.07972232
0.6654114,35.64976,0.9686561,0.2765146,0.5704514,0.08005552
0.674922,35.13536,0.9736615,0.269773,0.5794512,0.08038472
0.6844326,34.50224,0.97777,0.2631966,0.5881823,0.08070843
0.6953316,33.66537,0.9815781,0.2558585,0.5978502,0.08107103
0.7062305,32.7222,0.9846038,0.2487264,0.6071619,0.08142392
0.7171295,31.68654,0.9869988,0.2417949,0.6161216,0.08176621
0.7280284,30.57905,0.9888879,0.2350584,0.6247313,0.08209682
0.7403476,29.26539,0.9905372,0.2276726,0.6340452,0.08245515
0.7526669,27.8848,0.991775,0.220522,0.6429316,0.08279686
0.7649861,26.44112,0.9926858,0.2135995,0.6514048,0.0831215
0.7773053,24.95337,0.9933322,0.2068983,0.6594735,0.08342809
0.7900765,23.38531,0.9937717,0.2001783,0.6674205,0.0837259
0.8028476,21.78246,0.9940208,0.1936821,0.6749627,0.08400346
0.8156188,20.14479,0.9941113,0.1874028,0.6821168,0.08426064
0.8283899,18.48822,0.99406,0.1813343,0.6888941,0.08449681
0.8412163,16.82175,0.9938748,0.1754456,0.6953324,0.08471225
0.8540426,15.14368,0.9935723,0.1697573,0.7014204,0.08490624
0.866869,13.45334,0.9931611,0.1642635,0.7071736,0.08507887
0.8796954,11.76202,0.9926376,0.158959,0.7126031,0.08522983
0.8925386,10.07887,0.9919941,0.1538325,0.717726,0.08535901
0.9053819,8.399319,0.9912355,0.1488858,0.7225507,0.08546659
0.9182251,6.722563,0.9903597,0.1441142,0.7270906,0.0855528
0.9310684,5.055998,0.9893541,0.1395138,0.7313557,0.08561756
0.9437066,3.433065,0.9882237,0.1351502,0.7352937,0.0856603
0.9563448,1.822413,0.9869504,0.1309448,0.7389869,0.0856826
0.9689831,0.2233574,0.9855255,0.126894,0.7424458,0.08568474
0.9816213,-1.359987,0.983932,0.1229951,0.7456787,0.08566679
0.9932594,-2.80076,0.9822996,0.1195369,0.7484627,0.08563257
1.004898,-4.227283,0.9805012,0.1162029,0.7510692,0.08558167
1.016536,-5.639873,0.9785252,0.1129912,0.7535049,0.08551431
1.028174,-7.037057,0.9763558,0.1099002,0.7557753,0.08543061
1.041971,-8.671279,0.9735088,0.1063901,0.7582602,0.08531039
1.055769,-10.2837,0.9703443,0.1030449,0.76053,0.0851678
1.069566,-11.87542,0.9668376,0.09986217,0.7625938,0.0850032
1.083364,-13.44471,0.9629542,0.09684025,0.7644591,0.08481683
1.100655,-15.37727,0.9574985,0.09327784,0.7665272,0.08455288
1.117947,-17.27624,0.9513393,0.08996156,0.7683097,0.08425587
1.135238,-19.14394,0.9444135,0.08688782,0.7698203,0.08392646
1.15253,-20.97917,0.9366383,0.08405408,0.7710704,0.0835651
