t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.04108404,-61.84001,0.05442632,0.5958627,0.317846,0.09735474
0.08216808,-58.84139,0.05857232,0.5950967,0.3183509,0.09483717
0.1232521,-55.9774,0.06510431,0.5937831,0.3191983,0.09244049
0.1643362,-53.2847,0.0740723,0.5918135,0.3204087,0.09015869
0.1982872,-51.24589,0.08334269,0.589627,0.3216876,0.08835431
0.2322383,-49.32772,0.09410864,0.5869434,0.3232034,0.08661768
0.2661893,-47.4668,0.1063325,0.5837393,0.3249531,0.08494562
0.3001404,-45.64359,0.1200305,0.5799809,0.326939,0.08333644
0.3492845,-42.91593,0.1425087,0.5734905,0.3302399,0.081117
0.3984286,-40.07875,0.168506,0.5656016,0.3340879,0.07903388
0.4475726,-37.05835,0.1986672,0.556111,0.3385597,0.07710011
0.4967167,-33.41263,0.2336838,0.5448253,0.3437522,0.07533199
0.5361409,-29.72955,0.2661911,0.5342904,0.3485607,0.07405568
0.5755651,-25.20955,0.3041107,0.5222289,0.3541267,0.07294063
0.6149893,-19.55729,0.3487485,0.508678,0.3606592,0.07202541
0.6544134,-12.49563,0.4014248,0.4939304,0.3684274,0.0713601
0.6693086,-9.396159,0.4236706,0.4881479,0.3717498,0.07118618
0.6842037,-6.036292,0.4472315,0.4822955,0.3753131,0.07106043
0.6990988,-2.435139,0.4720726,0.4764031,0.3791345,0.07098643
0.7139939,1.369994,0.4981132,0.4704983,0.383229,0.0709676
0.7288891,5.334928,0.5252086,0.4646055,0.3876077,0.07100677
0.7437842,9.410122,0.553136,0.4587426,0.3922757,0.07110594
0.7586793,13.51671,0.5816241,0.4529236,0.3972321,0.07126613
0.7735744,17.54934,0.610351,0.4471585,0.4024677,0.07148699
0.7876532,21.20648,0.6373928,0.4417645,0.4076568,0.07174981
0.8017319,24.60851,0.6640102,0.4364277,0.4130578,0.07206231
0.8158106,27.66922,0.6899126,0.4311501,0.4186439,0.07242066
0.8298894,30.37729,0.7148308,0.4259329,0.4243827,0.07281973
0.8439681,32.71966,0.73854,0.4207765,0.4302392,0.07325381
0.8580468,34.66284,0.7609022,0.415681,0.436184,0.07371802
0.8721255,36.22994,0.7818232,0.410646,0.4421877,0.07420728
0.8862043,37.45587,0.8012467,0.4056714,0.4482204,0.07471618
0.9009668,38.44583,0.8199848,0.4005194,0.4545441,0.07526461
0.9157292,39.16098,0.8371253,0.3954324,0.4608517,0.07582568
0.9304917,39.62717,0.8527566,0.3904098,0.4671312,0.07639709
0.9452542,39.92656,0.8669451,0.3854509,0.4733605,0.07697431
0.9570957,40.12055,0.8773373,0.3815188,0.4783078,0.07743872
0.9689371,40.2259,0.8869269,0.3776268,0.4832137,0.07790487
0.9807785,40.21494,0.8957707,0.3737745,0.4880764,0.0783723
0.9926199,40.15041,0.9039119,0.3699615,0.4928889,0.0788394
1.003422,40.10586,0.9107681,0.3665171,0.4972334,0.0792647
1.014225,40.03945,0.9171227,0.3631048,0.5015349,0.07968927
1.025027,39.93974,0.9230068,0.3597243,0.5057906,0.08011238
1.03583,39.82014,0.9284571,0.3563753,0.5100018,0.0805342
1.046454,39.69448,0.9334282,0.3531121,0.5141017,0.08094807
1.057079,39.54382,0.9380377,0.3498788,0.5181583,0.0813604
1.067703,39.37137,0.9423109,0.3466752,0.5221707,0.08177093
1.078328,39.19964,0.9462725,0.343501,0.5261394,0.08217959
1.085876,39.07188,0.9489108,0.3412634,0.5289328,0.08246881
1.093425,38.93215,0.951411,0.3390405,0.5317041,0.08275701
1.100974,38.79397,0.9537801,0.3368321,0.5344533,0.08304412
1.108522,38.65366,0.9560251,0.3346381,0.5371806,0.08333013
1.116071,38.51053,0.9581523,0.3324585,0.5398857,0.08361496
1.12362,38.3542,0.9601681,0.3302931,0.542569,0.08389865
1.131168,38.17606,0.9620789,0.3281419,0.545231,0.08418125
1.138717,37.99739,0.9638893,0.3260047,0.5478708,0.08446253
1.14714,37.81443,0.9657967,0.3236366,0.5507896,0.08477463
1.155563,37.61108,0.9675928,0.3212857,0.5536813,0.08508507
1.163986,37.38034,0.9692841,0.318952,0.5565458,0.08539376
1.172408,37.14825,0.9708761,0.3166353,0.5593826,0.0857005
1.183212,36.84345,0.9727824,0.3136884,0.5629812,0.08609114
1.194016,36.55051,0.9745467,0.3107692,0.5665351,0.08647853
1.20482,36.29739,0.9761794,0.3078772,0.5700443,0.08686254
1.215624,36.01374,0.9776912,0.3050123,0.5735106,0.0872435
1.226046,35.6801,0.9790443,0.3022741,0.5768152,0.08760834
1.236467,35.35984,0.9802994,0.2995607,0.5800784,0.08796967
1.246889,35.05354,0.9814626,0.2968718,0.5832991,0.0883271
1.257311,34.74004,0.9825418,0.2942072,0.58648,0.08868118
1.266969,34.43263,0.9834731,0.2917592,0.5893941,0.08900666
1.276627,34.13879,0.9843419,0.2893318,0.5922748,0.08932923
1.286286,33.85936,0.9851524,0.2869247,0.5951226,0.08964896
1.295944,33.5614,0.9859086,0.2845378,0.597938,0.08996584
1.307899,33.14392,0.9867739,0.2816111,0.601377,0.09035376
1.319854,32.72085,0.9875664,0.2787147,0.604765,0.09073664
1.331809,32.30392,0.9882921,0.2758484,0.608103,0.09111449
1.343764,31.8791,0.9889561,0.2730118,0.6113914,0.09148724
1.3531,31.54164,0.9894352,0.270817,0.6139258,0.0917749
1.362437,31.21161,0.9898818,0.26864,0.6164306,0.09205939
1.371774,30.88175,0.9902975,0.2664806,0.6189054,0.09234055
1.381111,30.54474,0.9906845,0.2643389,0.6213512,0.09261853
1.390448,30.20988,0.9910449,0.2622145,0.6237689,0.09289352
1.399784,29.87323,0.9913801,0.2601074,0.6261582,0.09316534
