t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01537796,-63.58159,0.05411616,0.5959127,0.3178182,0.09899617
0.03075593,-62.20749,0.05731694,0.5952842,0.3182413,0.09801401
0.04613389,-60.83775,0.06214191,0.5942214,0.3189477,0.09705293
0.06151186,-59.5037,0.06837466,0.5927007,0.3199432,0.09611268
0.07688982,-58.2445,0.07590622,0.5906967,0.3212305,0.09519276
0.09226779,-57.00186,0.08450652,0.5882181,0.3227984,0.09429224
0.1076458,-55.75175,0.09407713,0.5852526,0.3246455,0.09341078
0.1230237,-54.52,0.1047424,0.5817441,0.3267852,0.09254845
0.1360986,-53.4971,0.1147587,0.5782934,0.3288419,0.09183021
0.1491735,-52.46335,0.1255416,0.5744294,0.3311091,0.0911255
0.1622484,-51.40655,0.1371177,0.5701349,0.3335915,0.09043458
0.1753233,-50.31443,0.1496169,0.5653505,0.3363041,0.08975778
0.1878368,-49.23228,0.1625577,0.5602629,0.3391291,0.08912366
0.2003503,-48.12291,0.1765105,0.5546608,0.3421842,0.0885033
0.2128638,-46.97054,0.1915906,0.548501,0.345483,0.08789726
0.2253773,-45.7284,0.2079236,0.5417321,0.3490427,0.08730629
0.2414773,-43.95001,0.2311083,0.5320091,0.3540497,0.08657005
0.2575773,-41.91977,0.2574094,0.520934,0.3596163,0.08586444
0.2736773,-39.53149,0.2877116,0.5082279,0.3658588,0.08519448
0.2897773,-36.67105,0.323076,0.4935553,0.372932,0.08456675
0.3043755,-33.56449,0.3606199,0.4782571,0.3802366,0.08404131
0.3189737,-29.76694,0.4046214,0.4607681,0.3885993,0.08356607
0.3335719,-25.05751,0.4562059,0.4410186,0.3982948,0.08315235
0.3481701,-19.25219,0.5163751,0.419274,0.4096831,0.08281509
0.3584901,-14.41117,0.5643106,0.4030304,0.4189779,0.08263234
0.3688101,-8.950486,0.615879,0.3864687,0.4294551,0.08250297
0.3791301,-2.9751,0.6696566,0.3699273,0.4412059,0.08243255
0.3894501,3.281996,0.7236598,0.3536813,0.4542626,0.08242529
0.3997701,9.481564,0.7754216,0.3379264,0.4685789,0.08248314
0.4100901,15.23407,0.8224379,0.3227512,0.4839588,0.08260275
0.4204101,20.22089,0.8629978,0.308197,0.5001382,0.08277769
0.4307301,24.23776,0.8963893,0.2942716,0.5168176,0.08299934
0.4409234,27.15133,0.9225864,0.2811188,0.5334645,0.08325362
0.4511168,29.11492,0.9427285,0.2685461,0.5500063,0.08353268
0.4613102,30.26204,0.9576907,0.2565321,0.5662241,0.08382748
0.4715036,30.66018,0.9685999,0.245055,0.5819496,0.08412999
0.482314,30.3893,0.9770065,0.2334452,0.597943,0.08445103
0.4931244,29.60993,0.9829157,0.2223879,0.6131501,0.08476638
0.5039349,28.43634,0.9869547,0.2118579,0.6275303,0.08507155
0.5147453,26.94301,0.9896659,0.2018319,0.6410553,0.08536222
0.5262066,25.07397,0.9915512,0.1917284,0.6544467,0.08565038
0.5376679,22.9844,0.9926984,0.1821401,0.6668916,0.08591585
0.5491292,20.73512,0.9933025,0.1730423,0.6784262,0.08615695
0.5605905,18.38091,0.9934761,0.1644133,0.6890786,0.08637166
0.5713554,16.10785,0.9933038,0.1567176,0.6983093,0.08654786
0.5821202,13.77888,0.9928712,0.1494001,0.7068351,0.08669927
0.592885,11.40681,0.9922037,0.1424451,0.7146944,0.08682566
0.6036499,9.01983,0.9912848,0.1358395,0.7219171,0.08692646
0.6139594,6.741642,0.9901461,0.1298293,0.7282659,0.08699871
0.624269,4.483968,0.9887578,0.124117,0.7340935,0.08704759
0.6345785,2.254816,0.9871025,0.1186926,0.7394297,0.08707335
0.6448881,0.04097737,0.985147,0.1135476,0.7443007,0.0870762
0.6565168,-2.432478,0.9825052,0.1080717,0.7492633,0.08705191
0.6681455,-4.855547,0.9793946,0.1029306,0.7536993,0.08699921
0.6797743,-7.229766,0.9757895,0.09811343,0.7576453,0.08691894
0.691403,-9.555599,0.9715688,0.09361515,0.7611269,0.0868114
0.7015457,-11.56167,0.967288,0.08994879,0.7638019,0.08669551
0.7116884,-13.51947,0.9624225,0.08651608,0.7661596,0.08655955
0.7218311,-15.40424,0.9569224,0.08331264,0.7682171,0.08640404
0.7319738,-17.24933,0.9507421,0.08033374,0.769992,0.08622959
0.7426087,-19.16926,0.9434608,0.07744761,0.7715642,0.08602674
0.7532437,-21.04011,0.9352721,0.07480129,0.7728531,0.08580377
0.7638786,-22.86117,0.9261046,0.07239011,0.7738734,0.08556117
0.7745135,-24.64576,0.9158883,0.07020917,0.7746382,0.08529942
0.7902208,-27.23596,0.8987378,0.06739887,0.7753254,0.08487861
0.8059281,-29.73129,0.8788558,0.06506509,0.7755135,0.08441796
0.8216353,-32.11588,0.8560279,0.0631881,0.7752363,0.0839188
0.8373426,-34.42106,0.8302032,0.0617423,0.7745288,0.08338281
0.8555602,-37.07035,0.7966852,0.06056926,0.7732124,0.08271721
0.8737778,-39.65715,0.7585583,0.05992866,0.7713755,0.08200394
0.8919954,-42.15049,0.71538,0.05980559,0.7690374,0.08124319
0.910213,-44.58699,0.6679118,0.06016181,0.7662423,0.0804374
0.9264701,-46.74883,0.6228074,0.06085515,0.7633972,0.07968235
0.9427273,-48.85781,0.5748918,0.06191124,0.7602216,0.07889258
0.9589844,-50.88293,0.5245732,0.06332736,0.75673,0.07806861
0.9752415,-52.80527,0.4731234,0.06508452,0.7529542,0.07721254
0.9901215,-54.46865,0.4262303,0.06697595,0.7492769,0.07640283
1.005001,-56.01208,0.3803295,0.0691305,0.7454059,0.0755694
1.019881,-57.41301,0.3363904,0.07153213,0.7413656,0.07471419
1.034761,-58.67446,0.2952119,0.07416354,0.7371805,0.07383927
1.053292,-60.02392,0.248948,0.07772769,0.7318063,0.07272567
1.071823,-61.12749,0.2088168,0.08156376,0.7262952,0.07158952
1.090353,-62.02609,0.1748836,0.08562394,0.7206887,0.07043485
1.108884,-62.73165,0.1471139,0.08985955,0.7150273,0.06926558
1.121094,-63.08078,0.131971,0.09272255,0.711285,0.06848894
1.133305,-63.37948,0.1190661,0.0956266,0.7075424,0.0677084
1.145515,-63.6549,0.1081986,0.09856186,0.7038054,0.0669246
1.157725,-63.87115,0.09901867,0.1015236,0.7000783,0.06613797
1.169936,-63.99801,0.0912492,0.1045022,0.6963678,0.06534919
1.182146,-64.08992,0.08484525,0.1074825,0.6926818,0.06455915
1.194357,-64.16095,0.07964375,0.110457,0.6890242,0.06376831
1.206567,-64.18536,0.07541553,0.1134209,0.6853984,0.06297702
1.218374,-64.18516,0.07207242,0.1162709,0.6819265,0.06221188
1.23018,-64.17095,0.06939872,0.119101,0.6784895,0.06144694
1.241987,-64.11663,0.06730223,0.121909,0.6750888,0.06068236
1.253793,-64.05578,0.06568723,0.1246895,0.6717275,0.05991849
1.265375,-63.99269,0.06446696,0.1273881,0.6684699,0.05917002
1.276957,-63.88982,0.06359641,0.130054,0.6652532,0.05842263
1.288539,-63.76846,0.06306778,0.1326817,0.6620801,0.05767663
