t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.006376935,-64.67404,0.05305006,0.5961015,0.3176901,0.09958017
0.01275387,-64.35428,0.05338581,0.5960438,0.3177294,0.09916243
0.01913081,-64.04237,0.05391471,0.5959479,0.3177945,0.09874673
0.02550774,-63.7322,0.05461241,0.5958141,0.3178852,0.09833306
0.03188468,-63.41719,0.0554607,0.5956421,0.3180015,0.09792138
0.03826161,-63.10983,0.05644887,0.5954314,0.3181435,0.0975117
0.04463855,-62.81355,0.05756338,0.5951823,0.3183109,0.097104
0.05101548,-62.5142,0.05878943,0.5948951,0.3185033,0.09669824
0.0611005,-62.04593,0.06093148,0.5943628,0.3188584,0.09606044
0.07118552,-61.60357,0.06329145,0.5937364,0.3192742,0.09542729
0.08127054,-61.16612,0.06583919,0.5930171,0.3197491,0.09479864
0.09135556,-60.7208,0.06856122,0.5922036,0.3202832,0.09417449
0.1048981,-60.11439,0.07248075,0.5909568,0.3210961,0.09334355
0.1184407,-59.51215,0.07671915,0.5895283,0.3220201,0.09252092
0.1319832,-58.91839,0.08127689,0.5879145,0.3230554,0.09170656
0.1455258,-58.33413,0.08610824,0.5861139,0.3242004,0.09090029
0.1599189,-57.71379,0.09153013,0.5839904,0.3255365,0.09005204
0.1743119,-57.09821,0.09723998,0.5816553,0.3269938,0.08921279
0.188705,-56.48712,0.1032162,0.5791074,0.3285724,0.08838264
0.2030981,-55.85474,0.1095132,0.5763247,0.3302776,0.08756159
0.2159534,-55.26095,0.1154665,0.5736235,0.331913,0.08683609
0.2288087,-54.66729,0.1217596,0.5707138,0.3336574,0.0861183
0.241664,-54.07578,0.128417,0.5675868,0.3355135,0.08540836
0.2545193,-53.46635,0.1354274,0.5642379,0.3374815,0.08470626
0.2709085,-52.62682,0.14487,0.5596125,0.3401619,0.08382285
0.2872977,-51.76269,0.1551186,0.554585,0.3430444,0.0829535
0.3036869,-50.89292,0.1663311,0.5491443,0.3461362,0.08209882
0.320076,-49.96857,0.1784507,0.5432117,0.3494544,0.08125907
0.333922,-49.10759,0.1894663,0.5377491,0.3524538,0.08056197
0.347768,-48.17759,0.2014166,0.5318567,0.3556478,0.07987731
0.3616139,-47.15796,0.21444,0.525485,0.359056,0.07920612
0.3754599,-46.02309,0.2288102,0.518552,0.3627107,0.0785499
0.3908791,-44.61368,0.2467472,0.5100596,0.3671148,0.07783881
0.4062983,-43.00358,0.2671161,0.5006226,0.371924,0.07715103
0.4217175,-41.10754,0.2905494,0.4900431,0.3772218,0.07649034
0.4371368,-38.84591,0.3178365,0.4780721,0.3831188,0.07586171
0.453074,-36.04154,0.3513086,0.4639254,0.3900138,0.07525297
0.4690112,-32.573,0.3912165,0.4476011,0.3979046,0.07469385
0.4849485,-28.20842,0.438765,0.428871,0.4070577,0.0741957
0.5008857,-22.72794,0.4957489,0.4077373,0.4178826,0.07377559
0.5109444,-18.6175,0.5372446,0.3933127,0.425796,0.07355994
0.5210031,-13.93957,0.5825942,0.3783568,0.434676,0.07338861
0.5310618,-8.703456,0.6310218,0.3631585,0.4446232,0.07326683
0.5411205,-3.045997,0.6813393,0.3479961,0.4557199,0.07319977
0.5511791,2.808224,0.7318057,0.3331151,0.4679989,0.07319132
0.5612378,8.596013,0.7800415,0.3186626,0.4813768,0.07324163
0.5712965,14.02287,0.8240474,0.3047255,0.4957035,0.07334831
0.5813552,18.78882,0.8624312,0.291342,0.5107701,0.07350645
0.5907594,22.44294,0.8925948,0.279332,0.5252922,0.07369416
0.6001636,25.27975,0.9172146,0.2678019,0.539996,0.07391229
0.6095678,27.30882,0.9366642,0.2567397,0.5546732,0.07415311
0.618972,28.59502,0.951693,0.2461308,0.5691492,0.07440949
0.6295578,29.25695,0.9644805,0.2347109,0.5850225,0.07470832
0.6401435,29.25373,0.9737554,0.223821,0.6003115,0.0750106
0.6507293,28.73776,0.9803028,0.2134381,0.6149205,0.07531014
0.6613151,27.76408,0.9848667,0.2035405,0.628785,0.07560162
0.6733153,26.20423,0.9884016,0.1928814,0.6435446,0.07591611
0.6853156,24.27467,0.9906862,0.1827886,0.6572825,0.07620962
0.6973158,22.04155,0.9920795,0.1732333,0.6700185,0.07647908
0.709316,19.63922,0.9927822,0.1641914,0.6817622,0.0767208
0.7191772,17.59688,0.9929449,0.1571292,0.6906892,0.07689685
0.7290384,15.5037,0.9928315,0.1503843,0.6990033,0.07705254
0.7388995,13.38854,0.9924751,0.1439444,0.7067323,0.07718745
0.7487607,11.22227,0.9918912,0.1377986,0.7139022,0.07730119
0.7600944,8.643691,0.9909391,0.1310853,0.72148,0.07740509
0.7714282,6.075708,0.9896678,0.1247333,0.7283826,0.07747985
0.7827619,3.562699,0.988054,0.1187296,0.7346503,0.07752562
0.7940957,1.060496,0.9860781,0.1130622,0.7403241,0.07754287
0.8040162,-1.145221,0.9840193,0.1083694,0.7448296,0.07753472
0.8139367,-3.323369,0.9816026,0.103921,0.7489239,0.07750482
0.8238572,-5.464957,0.9787889,0.09971166,0.752629,0.07745352
0.8337777,-7.556101,0.9755396,0.09573636,0.755966,0.07738122
0.8444928,-9.777283,0.9715028,0.09170004,0.759181,0.07728015
0.855208,-11.94464,0.9668382,0.08792701,0.7620123,0.0771556
0.8659231,-14.0367,0.9614647,0.08441338,0.76448,0.07700802
0.8766382,-16.0954,0.9553351,0.08115412,0.7666067,0.07683814
0.886484,-17.96649,0.948986,0.07838,0.7682764,0.07666289
0.8963298,-19.79901,0.9418484,0.07581605,0.7696835,0.0764694
0.9061755,-21.60921,0.933842,0.07346015,0.7708394,0.07625798
0.9160213,-23.38145,0.9249038,0.07130954,0.7717551,0.07602897
0.9296718,-25.75705,0.9108601,0.06866076,0.7726485,0.07568313
0.9433223,-28.06123,0.8947592,0.06638801,0.7731311,0.07530542
0.9569728,-30.30529,0.8764394,0.06447991,0.7732275,0.07489676
0.9706233,-32.51077,0.8557064,0.06292626,0.7729572,0.07445781
0.9867433,-35.08928,0.8281171,0.06152727,0.7721957,0.07390169
1.002863,-37.59391,0.7965702,0.06059209,0.7709689,0.07330463
1.018983,-40.01432,0.7605742,0.06011054,0.7692922,0.07266668
1.035103,-42.41545,0.7205178,0.06005195,0.767202,0.07198974
