t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.03246151,-64.82639,0.0529902,0.5961085,0.3176851,0.09786032
0.06492303,-64.48919,0.05323629,0.5960716,0.3177103,0.09572957
0.09738454,-64.15821,0.05370944,0.5960049,0.3177564,0.09361053
0.1298461,-63.86293,0.054354,0.5958969,0.3178302,0.0915029
0.1623076,-63.56279,0.05511505,0.5957449,0.3179331,0.08940534
0.1947691,-63.26748,0.05601177,0.5955566,0.3180602,0.08731811
0.2272306,-62.97658,0.05703015,0.5953325,0.3182111,0.08524108
0.2596921,-62.6897,0.05815792,0.5950726,0.3183855,0.0831741
0.3342152,-62.04366,0.06109884,0.5943414,0.3188738,0.07846611
0.4087383,-61.41252,0.06447729,0.5934221,0.3194831,0.07380918
0.4832614,-60.79226,0.06824254,0.5923133,0.3202125,0.06920248
0.5577845,-60.17684,0.07233981,0.5910132,0.3210608,0.06464526
0.6400632,-59.4951,0.07720894,0.5893519,0.3221353,0.05967073
0.7223419,-58.80528,0.0824692,0.5874435,0.3233576,0.05475663
0.8046206,-58.0988,0.08815531,0.5852743,0.3247327,0.04990417
0.8868993,-57.36322,0.09429966,0.5828278,0.3262668,0.04511498
0.9857624,-56.41827,0.1023762,0.5794881,0.328334,0.03944796
1.084625,-55.383,0.1114263,0.5756544,0.3306713,0.03388384
1.183488,-54.21487,0.1217761,0.5712334,0.3333201,0.02843423
1.282352,-52.84533,0.1338646,0.5660918,0.3363388,0.02311517
1.363081,-51.50926,0.1455193,0.5612122,0.3391407,0.01888519
1.44381,-49.89943,0.1593272,0.5555596,0.3423153,0.01477583
1.524539,-47.88104,0.1761734,0.5488607,0.345973,0.01081461
1.605268,-45.24105,0.1975415,0.5406548,0.3502925,0.00704373
1.656186,-43.11325,0.2143407,0.5343961,0.3534768,0.004790223
1.707104,-40.47003,0.2346192,0.5269841,0.3571276,0.002657816
1.758021,-37.09993,0.2595935,0.5180434,0.3613959,0.0006777965
1.808939,-32.70246,0.2911008,0.5070802,0.3665116,-0.001104389
1.847779,-28.41525,0.3210006,0.4970408,0.3711777,-0.002293425
1.886619,-23.00465,0.357577,0.4854093,0.3767229,-0.003294406
1.925458,-16.18733,0.4022685,0.4723101,0.3834032,-0.004059174
1.964298,-7.758406,0.4562352,0.4581882,0.3915262,-0.004528731
1.981772,-3.417266,0.4837051,0.4516752,0.3957403,-0.004626135
1.999247,1.221515,0.5129947,0.4451303,0.4003372,-0.004644886
2.016721,6.084959,0.5438562,0.4385947,0.405334,-0.004580418
2.034196,11.06504,0.5759129,0.4320992,0.4107367,-0.004429863
2.05167,16.0236,0.6086708,0.4256651,0.4165385,-0.004192421
2.069145,20.78067,0.6415493,0.4193052,0.4227171,-0.00386992
2.08662,25.16691,0.6739536,0.4130275,0.4292355,-0.003467071
2.104094,29.04985,0.7053009,0.4068364,0.4360409,-0.002991743
2.11665,31.47833,0.7268709,0.4024422,0.441072,-0.002611247
2.129206,33.57614,0.747485,0.3980939,0.446196,-0.002202369
2.141763,35.33668,0.7670381,0.3937913,0.4513902,-0.001768991
2.154319,36.78329,0.7854499,0.3895345,0.4566306,-0.001315469
2.166875,37.9578,0.8026726,0.3853232,0.4618939,-0.0008461807
2.179431,38.87143,0.8187138,0.381157,0.4671653,-0.0003638227
2.191987,39.54674,0.8335967,0.3770356,0.4724314,0.0001290054
2.204544,40.03643,0.8473483,0.3729586,0.4776765,0.0006291559
2.216873,40.388,0.8597925,0.3689979,0.4827937,0.001124745
2.229203,40.61489,0.871254,0.3650792,0.4878739,0.001623857
2.241533,40.73182,0.8817957,0.3612021,0.4929121,0.002125407
2.253863,40.77117,0.8914748,0.3573661,0.4979018,0.002627905
2.266874,40.7595,0.9008181,0.3533625,0.503109,0.003157834
2.279885,40.68887,0.9093421,0.3494038,0.508256,0.003687172
2.292896,40.5647,0.9171151,0.3454896,0.5133413,0.00421542
2.305907,40.4042,0.9241984,0.3416192,0.5183622,0.004741781
2.320963,40.19195,0.9316107,0.3371946,0.5240895,0.005347667
2.33602,39.94202,0.9382638,0.3328275,0.5297288,0.005949997
2.351077,39.65429,0.9442349,0.328517,0.53528,0.006548435
2.366133,39.34165,0.9495925,0.3242626,0.5407419,0.007142305
2.383878,38.95889,0.9552033,0.3193195,0.5470626,0.007835447
2.401622,38.54143,0.9601413,0.3144521,0.5532604,0.008521395
2.419367,38.08253,0.9644878,0.3096592,0.5593368,0.009199914
2.437112,37.60173,0.9683128,0.3049397,0.5652907,0.009870066
2.455858,37.09481,0.9718554,0.3000323,0.5714462,0.01056786
2.474605,36.55378,0.9749514,0.2952042,0.5774686,0.01125575
2.493351,35.96492,0.977658,0.2904543,0.5833611,0.01193372
2.512098,35.35958,0.9800223,0.2857813,0.5891218,0.01260052
