t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01212402,-64.00496,0.05333397,0.5960549,0.3177215,0.09920586
0.02424804,-62.96918,0.05449069,0.5958532,0.3178581,0.09842411
0.03637206,-61.95522,0.05633746,0.5955093,0.3180899,0.09765492
0.04849608,-60.97349,0.05881779,0.5950165,0.3184185,0.096898
0.06062009,-60.00799,0.06188058,0.5943706,0.3188442,0.09615292
0.07274411,-59.06117,0.0654873,0.5935688,0.3193667,0.09541953
0.08486813,-58.1318,0.0696111,0.5926062,0.3199864,0.0946976
0.09699215,-57.21842,0.07423105,0.5914779,0.3207037,0.09398692
0.1219044,-55.38304,0.08520616,0.5886175,0.3224847,0.09256112
0.1468167,-53.59303,0.09815884,0.5849821,0.3246832,0.09118078
0.171729,-51.82772,0.1131105,0.5805088,0.3273072,0.08984518
0.1966413,-50.05233,0.1300907,0.5751297,0.3303663,0.088554
0.2241686,-48.02071,0.1513354,0.5680307,0.3342731,0.08717953
0.2516958,-45.85629,0.1756244,0.559545,0.3387811,0.08586283
0.2792231,-43.45484,0.2036565,0.5494131,0.3439743,0.08460955
0.3067504,-40.64832,0.2363664,0.5372902,0.3499755,0.08342816
0.3285957,-37.98791,0.2666234,0.5259458,0.3554406,0.08255064
0.3504409,-34.77358,0.3018661,0.5126863,0.3616815,0.08173689
0.3722862,-30.78243,0.3434682,0.4971934,0.3689086,0.08100113
0.3941315,-25.74081,0.3932586,0.4792523,0.3774295,0.08036374
0.4102175,-21.18001,0.4363254,0.4644726,0.384761,0.07997254
0.4263035,-15.71818,0.4854342,0.4486427,0.3932056,0.07966211
0.4423895,-9.282323,0.5404665,0.4321377,0.4029638,0.07944687
0.4584755,-1.963821,0.6004849,0.4154004,0.4142268,0.07934203
0.4711324,4.244066,0.6499466,0.4023527,0.4242424,0.07934625
0.4837894,10.56008,0.6994613,0.3895443,0.4352657,0.07943007
0.4964464,16.65565,0.7471787,0.3770529,0.4472223,0.07959257
0.5091034,22.18195,0.7914075,0.3649175,0.4599752,0.0798289
0.5217603,26.84643,0.8307232,0.353148,0.4733201,0.08012956
0.5344173,30.50629,0.8644942,0.3417453,0.4870344,0.08048283
0.5470743,33.13321,0.8926357,0.3307041,0.5009101,0.08087676
0.5597313,34.84707,0.9154606,0.3200167,0.5147435,0.08129833
0.5707689,35.75662,0.9315463,0.3109779,0.5266333,0.08167879
0.5818066,36.19419,0.9446277,0.3021938,0.5383009,0.08206669
0.5928443,36.23465,0.9551865,0.2936578,0.5497006,0.08245816
0.6038819,35.98037,0.9636425,0.2853634,0.5607813,0.0828485
0.6131678,35.60406,0.9694137,0.2785678,0.5698292,0.08317316
0.6224536,35.09462,0.974182,0.2719348,0.5786257,0.08349369
0.6317395,34.4725,0.9781132,0.2654605,0.5871667,0.08380907
0.6410253,33.76019,0.9813501,0.2591413,0.595448,0.08411824
0.6523714,32.79625,0.9845372,0.2516254,0.6052108,0.08448616
0.6637175,31.73782,0.987039,0.2443293,0.6145895,0.08484259
0.6750637,30.59521,0.9889926,0.2372469,0.6235916,0.08518678
0.6864098,29.38854,0.9905089,0.2303721,0.6322211,0.08551763
0.6988279,28.01782,0.9917682,0.223079,0.6412444,0.08586326
0.7112461,26.59003,0.9926939,0.2160205,0.6498445,0.0861915
0.7236643,25.10703,0.9933528,0.2091892,0.6580369,0.08650199
0.7360825,23.58719,0.9937927,0.2025785,0.6658308,0.08679385
0.7487797,22.01474,0.9940508,0.1960408,0.6733979,0.08707215
0.761477,20.4141,0.9941498,0.1897202,0.6805781,0.08733029
0.7741742,18.78471,0.9941135,0.18361,0.687388,0.08756823
0.7868715,17.14128,0.9939521,0.1777044,0.6938385,0.08778541
0.7996176,15.49244,0.9936684,0.1719762,0.699963,0.08798203
0.8123637,13.83583,0.9932757,0.1664424,0.7057539,0.08815759
0.8251098,12.17059,0.9927796,0.1610975,0.711226,0.08831221
0.8378559,10.50706,0.9921743,0.1559367,0.7163898,0.08844563
0.8506037,8.855404,0.9914512,0.1509548,0.7212562,0.08855765
0.8633515,7.209355,0.9906132,0.1461474,0.7258393,0.08864865
0.8760993,5.568048,0.9896568,0.1415101,0.7301516,0.08871886
0.8888471,3.938168,0.9885689,0.1370392,0.7342025,0.08876824
0.9013179,2.361077,0.9873629,0.132823,0.7379212,0.08879637
0.9137887,0.7969323,0.986013,0.1287589,0.7414097,0.08880492
0.9262595,-0.7549261,0.9845101,0.1248438,0.7446776,0.08879414
0.9387303,-2.290905,0.9828377,0.121075,0.7477325,0.08876412
0.9499207,-3.652854,0.981178,0.1178156,0.7502985,0.0887209
0.9611111,-5.00128,0.9793604,0.1146701,0.7527055,0.08866253
0.9723015,-6.336415,0.9773745,0.1116367,0.754959,0.08858917
0.9834919,-7.657136,0.9752064,0.108714,0.7570638,0.08850098
0.9977203,-9.313433,0.9721617,0.1051558,0.7595327,0.08836758
1.011949,-10.94638,0.9687745,0.1017715,0.7617791,0.08821082
1.026177,-12.55727,0.9650181,0.09855835,0.7638126,0.08803108
1.040405,-14.14413,0.960855,0.09551454,0.7656411,0.08782864
1.057985,-16.06911,0.9550897,0.09198501,0.7676283,0.08754754
1.075566,-17.95914,0.948588,0.08870685,0.7693295,0.08723296
1.093146,-19.81647,0.9412848,0.08567608,0.7707584,0.0868856
1.110726,-21.64008,0.933097,0.08288962,0.7719267,0.08650597
1.134481,-24.05849,0.9205203,0.07950458,0.7731127,0.08594293
1.158237,-26.41933,0.9059712,0.07655009,0.7738683,0.08532324
1.181993,-28.71952,0.8891994,0.07401794,0.774214,0.08464776
1.205748,-30.98127,0.8700801,0.07189276,0.7741743,0.08391815
1.230089,-33.29788,0.8480599,0.0701165,0.773761,0.08311659
1.25443,-35.57677,0.8230131,0.06874633,0.7729735,0.0822592
1.278771,-37.80187,0.7945047,0.06777729,0.7718184,0.08134534
1.303112,-40.03016,0.7627043,0.06718513,0.7703201,0.08037716
1.324094,-41.9931,0.7328119,0.06696025,0.7687697,0.07950037
1.345076,-43.95473,0.7001545,0.06700733,0.7669725,0.07858252
1.366058,-45.90545,0.6645968,0.06732581,0.7649309,0.07762303
1.38704,-47.86,0.6263923,0.06790757,0.7626554,0.07662263
1.4091,-49.9282,0.5837803,0.06879505,0.7600228,0.07552761
1.431161,-51.96651,0.5387125,0.06997306,0.757145,0.07438742
1.453221,-53.94177,0.4916415,0.07144295,0.7540315,0.07320251
1.475281,-55.83488,0.44356,0.07319585,0.7507014,0.07197504
1.498601,-57.71934,0.3929672,0.07534354,0.7469705,0.07063433
1.52192,-59.42923,0.3437034,0.07778679,0.7430442,0.06925196
1.545239,-60.93012,0.296983,0.08050631,0.7389507,0.06783204
1.568559,-62.2096,0.254079,0.0834699,0.7347238,0.0663799
