t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.007611777,-64.93816,0.05294977,0.596118,0.3176788,0.09949784
0.01522355,-64.81725,0.05301841,0.5961072,0.3176862,0.0989964
0.02283533,-64.69668,0.05315012,0.5960857,0.3177009,0.09849596
0.03044711,-64.58716,0.05333874,0.5960525,0.3177236,0.09799647
0.03805889,-64.47481,0.0535727,0.5960083,0.3177537,0.09749783
0.04567066,-64.36291,0.05385071,0.5959535,0.3177909,0.09700009
0.05328244,-64.25145,0.05416895,0.5958881,0.3178353,0.09650323
0.06089422,-64.14041,0.05452391,0.5958121,0.3178868,0.09600726
0.08655068,-63.7688,0.05594318,0.5954782,0.3181123,0.094342
0.1122071,-63.40106,0.05765921,0.5950245,0.3184173,0.09268664
0.1378636,-63.03673,0.0596181,0.5944512,0.318801,0.09104111
0.1635201,-62.67503,0.06175856,0.5937582,0.3192624,0.08940532
0.1908663,-62.29158,0.0641909,0.592888,0.3198388,0.08767242
0.2182124,-61.90991,0.06677604,0.5918811,0.320502,0.08595046
0.2455586,-61.52945,0.06950415,0.5907366,0.3212515,0.0842394
0.2729048,-61.14934,0.07235825,0.5894537,0.3220867,0.0825392
0.3077848,-60.66353,0.07615936,0.5876146,0.3232759,0.08038635
0.3426648,-60.1755,0.08016567,0.5855441,0.3246043,0.07825123
0.3775448,-59.68353,0.08439735,0.583237,0.3260725,0.07613396
0.4124248,-59.18498,0.08885038,0.5806877,0.3276816,0.07403471
0.4527602,-58.59598,0.09427272,0.5774288,0.32972,0.07162986
0.4930956,-57.99032,0.1000749,0.5738204,0.3319546,0.06925005
0.5334311,-57.36278,0.1063374,0.5698419,0.3343933,0.06689613
0.5737665,-56.70485,0.1131019,0.5654695,0.3370452,0.06456908
0.6178672,-55.93728,0.121139,0.5602026,0.3402031,0.06205706
0.6619679,-55.10781,0.1300898,0.5543696,0.3436573,0.05958124
0.7060686,-54.1959,0.1402368,0.5478889,0.3474441,0.05714503
0.7501693,-53.16706,0.1518593,0.540657,0.3516099,0.05475265
