t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01024628,-64.12959,0.05327498,0.5960645,0.3177149,0.09932819
0.02049257,-63.19595,0.0542729,0.5958919,0.317832,0.09866568
0.03073885,-62.27889,0.05587935,0.5955968,0.3180316,0.09801275
0.04098514,-61.39217,0.05804397,0.595172,0.3183162,0.09736922
0.05123142,-60.5162,0.06071762,0.5946138,0.3186857,0.09673474
0.06147771,-59.65473,0.06386724,0.5939213,0.3191398,0.09610922
0.07172399,-58.80693,0.06746796,0.5930907,0.3196787,0.09549251
0.08197028,-57.97184,0.07150011,0.592118,0.320303,0.0948845
0.1038129,-56.22783,0.08146058,0.5895515,0.3219194,0.09361673
0.1256555,-54.52555,0.09324865,0.5862744,0.3239289,0.09238684
0.1474981,-52.85008,0.1068627,0.5822338,0.3263377,0.09119418
0.1693408,-51.17651,0.1223086,0.5773725,0.3291532,0.09003834
0.1940538,-49.2417,0.1420646,0.5707982,0.3328438,0.08877512
0.2187669,-47.21853,0.1645769,0.5629414,0.337107,0.08756089
0.2434799,-45.02941,0.1903738,0.553595,0.3420059,0.08639919
0.268193,-42.54923,0.2201344,0.5424909,0.3476302,0.08529539
0.2948743,-39.36865,0.2581244,0.5281219,0.3547009,0.08417976
0.3215556,-35.3393,0.3042472,0.5104526,0.3630644,0.08315896
0.3482369,-29.96875,0.3614559,0.4887565,0.3731907,0.08226103
0.3749182,-22.65398,0.4341117,0.4626639,0.3858599,0.0815313
0.387822,-18.21063,0.4761686,0.4485432,0.3932042,0.08125648
0.4007259,-13.05544,0.5228509,0.4337785,0.4015254,0.08104374
0.4136297,-7.183442,0.5737107,0.4186711,0.4109568,0.08090196
0.4265335,-0.7067462,0.627691,0.403524,0.4216104,0.08083978
0.4394373,6.137515,0.6830723,0.3886031,0.4335569,0.08086457
0.4523412,12.94795,0.7371757,0.3740538,0.4467367,0.08097781
0.465245,19.29068,0.7874921,0.3599616,0.4609937,0.08117578
0.4781488,24.74841,0.8321037,0.3463618,0.4760962,0.08145024
0.4895335,28.59168,0.8657202,0.3347718,0.4898731,0.08174504
0.5009182,31.49397,0.8938184,0.323561,0.5038491,0.08207818
0.5123029,33.49414,0.9166936,0.312721,0.5178395,0.08243988
0.5236875,34.71504,0.9348995,0.3022422,0.531672,0.08281996
0.5340043,35.29013,0.9480037,0.2930494,0.5439511,0.08317249
0.5443211,35.44308,0.9584489,0.2841361,0.5559325,0.08352876
0.5546379,35.2476,0.966712,0.2754941,0.5675755,0.08388537
0.5649547,34.7827,0.9732071,0.2671159,0.5788396,0.08423856
0.5744921,34.17264,0.9779561,0.2595987,0.5888919,0.08455934
0.5840294,33.41487,0.9817403,0.2522942,0.5985965,0.08487358
0.5935668,32.53283,0.9847442,0.2451966,0.6079518,0.08518014
0.6031042,31.55143,0.9871223,0.2383005,0.6169557,0.08547779
0.6144836,30.2816,0.9893136,0.2303283,0.6272391,0.08581974
0.6258629,28.91417,0.9909486,0.222626,0.6370364,0.08614668
0.6372423,27.46075,0.9921487,0.2151847,0.6463618,0.08645784
0.6486217,25.94368,0.993006,0.2079963,0.6552243,0.08675211
0.6606978,24.28858,0.9936158,0.2006356,0.6641341,0.08704475
0.6727739,22.58413,0.9939798,0.1935414,0.6725577,0.0873171
0.68485,20.83385,0.9941443,0.1867048,0.6805161,0.08756891
0.6969261,19.056,0.9941352,0.1801175,0.6880238,0.08779943
0.709141,17.24827,0.9939642,0.1737004,0.6951738,0.08801027
0.721356,15.42465,0.993653,0.1675222,0.7019011,0.08819892
0.733571,13.58622,0.9932131,0.1615755,0.7082257,0.08836546
0.745786,11.74574,0.9926407,0.1558535,0.7141626,0.08850955
0.7580304,9.911413,0.9919247,0.1503368,0.7197389,0.08863117
0.7702748,8.082147,0.9910718,0.1450326,0.72496,0.08873037
0.7825193,6.258099,0.9900785,0.139935,0.7298431,0.08880737
0.7947637,4.447261,0.9889281,0.1350387,0.7344016,0.08886215
0.8068103,2.686068,0.987624,0.1304133,0.7385818,0.08889432
0.8188569,0.9412441,0.9861443,0.1259731,0.7424753,0.08890538
0.8309036,-0.7874134,0.9844765,0.1217138,0.7460954,0.08889563
0.8429502,-2.495741,0.9825981,0.1176316,0.7494528,0.0888652
0.8538697,-4.02342,0.9806932,0.1140818,0.7522779,0.08881987
0.8647892,-5.533157,0.9785851,0.1106723,0.7549045,0.08875796
0.8757086,-7.025065,0.9762586,0.1074005,0.7573406,0.08867971
0.8866281,-8.49789,0.9736939,0.1042647,0.759593,0.08858529
0.9006465,-10.35846,0.9700162,0.1004355,0.7622257,0.08844062
0.9146649,-12.18736,0.9658747,0.09682341,0.7645808,0.08827013
0.9286833,-13.98588,0.9612291,0.09342464,0.7666718,0.08807432
0.9427016,-15.75226,0.9560243,0.09023653,0.7685099,0.08785356
0.9604926,-17.94629,0.9485255,0.0864897,0.7704955,0.08753809
0.9782836,-20.09084,0.9399403,0.08307136,0.7721135,0.0871841
0.9960745,-22.18806,0.9301602,0.07997529,0.7733837,0.08679248
1.013865,-24.23941,0.919063,0.07719558,0.774324,0.08636404
1.034102,-26.52637,0.9047274,0.07440828,0.7750151,0.08583317
1.054339,-28.75944,0.8883325,0.07201211,0.7753214,0.08525665
1.074576,-30.93647,0.869644,0.06999823,0.77526,0.08463512
1.094813,-33.07743,0.8485804,0.06835083,0.7748525,0.08396994
1.11505,-35.20838,0.8251348,0.06705209,0.77412,0.08326256
1.135286,-37.31079,0.7989148,0.06609855,0.7730671,0.08251243
1.155523,-39.37921,0.7696509,0.06548354,0.771701,0.0817194
1.17576,-41.44139,0.7374411,0.06519078,0.7700385,0.08088459
1.195857,-43.50885,0.7027187,0.06520384,0.7681094,0.08001526
1.215953,-45.56726,0.6649362,0.06552345,0.7659014,0.07910456
1.23605,-47.60242,0.6240634,0.0661485,0.7634193,0.07815219
1.256147,-49.62012,0.5805654,0.06706965,0.7606776,0.07715915
1.277774,-51.7696,0.5315615,0.0683815,0.7574547,0.07604642
1.299402,-53.84335,0.4807251,0.07003119,0.7539581,0.07488814
1.32103,-55.79879,0.4289709,0.07201497,0.7502065,0.0736859
1.342658,-57.60792,0.3777827,0.07431559,0.7462296,0.07244305
1.364454,-59.25498,0.3284128,0.07693174,0.7420276,0.07115358
1.38625,-60.69011,0.2823594,0.07982577,0.7376601,0.0698308
1.408046,-61.89957,0.240587,0.08296656,0.7331603,0.06847926
1.429842,-62.88851,0.2038706,0.08631446,0.728563,0.06710398
1.451956,-63.68467,0.1721519,0.08987862,0.7238334,0.06568951
1.47407,-64.29315,0.1457246,0.09357342,0.7190644,0.06425984
1.496184,-64.73945,0.1241701,0.09736256,0.7142796,0.0628187
1.518299,-65.0508,0.1069499,0.1012115,0.7095006,0.06136952
1.536805,-65.22678,0.09538671,0.1044562,0.7055189,0.06015269
1.555312,-65.33841,0.08601469,0.1077087,0.7015609,0.05893342
1.573819,-65.39634,0.07850402,0.1109574,0.6976328,0.05771279
1.592326,-65.40981,0.07254073,0.1141921,0.6937402,0.05649174
1.610833,-65.3866,0.06784363,0.1174045,0.6898877,0.05527105
1.629339,-65.33288,0.0642032,0.1205882,0.6860786,0.0540513
1.647846,-65.25379,0.06143795,0.1237379,0.6823157,0.052833
1.666353,-65.15368,0.05938377,0.126849,0.6786013,0.05161658
1.687937,-65.01512,0.05770488,0.1304238,0.6743333,0.05020077
1.709521,-64.85719,0.05666031,0.1339366,0.6701362,0.04878847
1.731106,-64.68345,0.05612853,0.1373842,0.6660118,0.04738003
1.75269,-64.49686,0.05600107,0.1407635,0.6619615,0.0459758
1.777385,-64.27064,0.05624314,0.1445435,0.6574197,0.04437463
1.802081,-64.03332,0.05682732,0.1482292,0.6529775,0.04277958
1.826777,-63.78704,0.0576901,0.151819,0.6486354,0.04119088
1.851472,-63.53361,0.05877601,0.1553117,0.6443941,0.03960875
1.883097,-63.20097,0.06042797,0.1596409,0.6391104,0.03759261
1.914721,-62.86111,0.06232876,0.1638089,0.6339923,0.03558774
1.946345,-62.51576,0.06443896,0.1678156,0.629039,0.03359431
1.977969,-62.16645,0.06672756,0.171661,0.6242503,0.0316125
2.024851,-61.64419,0.07041484,0.1770648,0.6174527,0.02869619
2.071733,-61.1184,0.07439911,0.1821184,0.6110105,0.02580579
2.118615,-60.59079,0.07863841,0.1868264,0.6049184,0.02294129
2.165497,-60.06362,0.08313862,0.1911912,0.5991726,0.02010285
2.222042,-59.4311,0.08893703,0.196002,0.592698,0.01671419
2.278587,-58.80236,0.09505299,0.2003281,0.5867086,0.01336307
2.335132,-58.17782,0.1014451,0.2041791,0.5811922,0.01004907
2.391676,-57.55882,0.1081677,0.2075603,0.5761401,0.006772051
2.450083,-56.92617,0.1155105,0.2105646,0.5713997,0.00342585
2.508489,-56.29868,0.1231657,0.2130842,0.5671302,0.0001183708
2.566896,-55.67502,0.1311111,0.2151283,0.5633189,-0.003150789
2.625303,-55.05442,0.1394088,0.2167016,0.5599559,-0.00638174
2.689082,-54.37996,0.14898,0.2178852,0.5567864,-0.009866193
2.752861,-53.70216,0.1589652,0.2185221,0.554126,-0.01330536
2.816641,-53.01486,0.169339,0.218619,0.5519628,-0.01669916
