t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01873963,-62.73359,0.05434548,0.5958804,0.3178377,0.09878459
0.03747926,-60.47239,0.05827425,0.5951447,0.318328,0.09761179
0.05621889,-58.30767,0.06440806,0.593876,0.3191591,0.09648069
0.07495851,-56.24856,0.07264218,0.592016,0.3203411,0.09538955
0.09369814,-54.26087,0.08291573,0.5895131,0.3218778,0.0943364
0.1124378,-52.33863,0.0951248,0.5863306,0.3237691,0.09332005
0.1311774,-50.46607,0.109261,0.5824169,0.3260186,0.09233948
0.149917,-48.61996,0.1253243,0.5777199,0.3286306,0.09139391
0.1749014,-46.14054,0.1497642,0.5701462,0.3326871,0.09018702
0.1998858,-43.57451,0.1780048,0.5608971,0.3374389,0.0890431
0.2248702,-40.80131,0.210662,0.5497222,0.3429637,0.08796656
0.2498546,-37.62123,0.2485168,0.5363256,0.3493743,0.08696457
0.2751505,-33.76091,0.2935983,0.5201432,0.3569748,0.08603968
0.3004464,-28.82111,0.3476767,0.5007331,0.3659976,0.0852251
0.3257423,-22.2891,0.4130242,0.4779759,0.3769144,0.08455221
0.3510382,-13.73891,0.4922222,0.4525172,0.3904386,0.08406873
0.3714938,-5.130457,0.5673939,0.4309081,0.4038398,0.08385512
0.3919495,4.676027,0.648159,0.4093411,0.4198187,0.08383259
0.4124051,14.75855,0.7282181,0.388417,0.4384054,0.08401565
0.4328607,23.6938,0.8007635,0.3684206,0.4591922,0.0843945
0.4418742,26.87138,0.8286158,0.3599163,0.4688467,0.08461506
0.4508876,29.53803,0.8535693,0.3516021,0.478684,0.08486194
0.4599011,31.68365,0.8755759,0.343476,0.4886251,0.08513063
0.4689145,33.33621,0.8947116,0.3355353,0.4985934,0.08541644
0.477928,34.55262,0.9111633,0.3277768,0.5085181,0.08571477
0.4869414,35.37922,0.9251895,0.3201968,0.5183503,0.08602229
0.4959549,35.86645,0.9370615,0.3127916,0.5280493,0.08633601
0.5049684,36.0777,0.9470444,0.3055576,0.5375764,0.08665286
0.514181,36.07128,0.9555723,0.2983368,0.5471046,0.08697721
0.5233937,35.87139,0.9626655,0.2912869,0.5564079,0.08730059
0.5326063,35.50908,0.9685485,0.2844042,0.5654745,0.08762157
0.541819,35.01896,0.9734175,0.2776847,0.5742928,0.08793859
0.5521183,34.35591,0.9778699,0.2703615,0.5838475,0.08828674
0.5624175,33.58433,0.9814624,0.2632326,0.5930836,0.08862746
0.5727168,32.71866,0.9843533,0.256293,0.6020026,0.08895993
0.583016,31.77932,0.9866752,0.2495378,0.6106047,0.08928309
0.5948487,30.63384,0.9887786,0.2419986,0.6200976,0.08964163
0.6066813,29.41699,0.9903976,0.2346897,0.6291865,0.08998617
0.618514,28.13304,0.9916303,0.2276042,0.6378832,0.0903162
0.6303466,26.80065,0.9925532,0.220736,0.6461946,0.09063077
0.6427989,25.36722,0.9932526,0.2137358,0.6545328,0.09094409
0.6552512,23.89273,0.9937276,0.206962,0.6624709,0.09123929
0.6677035,22.37672,0.9940195,0.2004078,0.6700247,0.09151619
0.6801557,20.83597,0.9941542,0.1940669,0.6772042,0.09177409
0.6926863,19.27795,0.9941479,0.1878952,0.6840607,0.09201374
0.7052169,17.70218,0.9940211,0.1819269,0.6905664,0.09223375
0.7177475,16.10757,0.9937871,0.1761561,0.6967363,0.09243416
0.7302781,14.50659,0.9934477,0.1705774,0.7025807,0.09261457
0.7428621,12.90515,0.9929988,0.1651631,0.7081325,0.09277524
0.755446,11.30204,0.9924494,0.159932,0.7133819,0.09291576
0.76803,9.696157,0.9918009,0.1548791,0.7183423,0.09303628
0.780614,8.096187,0.991045,0.1499998,0.7230233,0.09313665
0.7931418,6.517846,0.9901754,0.1453109,0.7274151,0.09321642
0.8056695,4.94819,0.9891894,0.1407857,0.7315521,0.09327647
0.8181972,3.386315,0.988082,0.1364202,0.7354454,0.09331705
0.830725,1.837643,0.9868397,0.132211,0.7391033,0.09333816
0.842784,0.3643268,0.9855025,0.128304,0.7424096,0.09334012
0.8548431,-1.095358,0.9840219,0.1245359,0.7455146,0.0933244
0.8669022,-2.541957,0.982389,0.1209037,0.7484263,0.09329124
0.8789612,-3.972804,0.9805888,0.1174054,0.7511513,0.09324074
0.8904162,-5.315039,0.9787093,0.1142042,0.7535726,0.09317683
0.9018712,-6.642502,0.9766563,0.1111197,0.7558374,0.09309764
0.9133262,-7.955512,0.9744187,0.1081501,0.7579513,0.09300338
0.9247812,-9.252965,0.9719817,0.1052939,0.7599192,0.09289418
0.9398275,-10.93119,0.9684496,0.1017124,0.7622898,0.09272827
0.9548739,-12.58277,0.9645192,0.09832053,0.7644278,0.09253734
0.9699202,-14.20929,0.9601608,0.09511508,0.7663436,0.09232189
0.9849665,-15.80842,0.9553311,0.0920936,0.7680459,0.09208222
1.003406,-17.7284,0.9487054,0.08863826,0.7698531,0.09175597
1.021845,-19.60912,0.9412468,0.08545001,0.7713685,0.09139475
1.040284,-21.4525,0.9328853,0.08252359,0.7726066,0.09099934
1.058723,-23.25825,0.9235377,0.0798543,0.7735802,0.09057038
1.085943,-25.87982,0.9078993,0.07636693,0.7745651,0.08987806
1.113164,-28.41647,0.8896106,0.07341346,0.7750316,0.08911564
1.140384,-30.84802,0.8682542,0.07098196,0.7750033,0.08828384
1.167605,-33.23546,0.8438972,0.06903846,0.774522,0.08738629
1.1902,-35.23043,0.8215127,0.0677704,0.7738067,0.08659391
1.212794,-37.18818,0.7966565,0.06681836,0.7728019,0.08575697
1.235389,-39.09691,0.7690791,0.0661767,0.7715131,0.08487521
1.257983,-40.99495,0.738978,0.06582654,0.7699592,0.08395042
1.278765,-42.75982,0.7092679,0.0657471,0.7683101,0.08306315
1.299547,-44.50839,0.6773271,0.06590432,0.766447,0.0821395
1.320329,-46.2293,0.6431355,0.06629595,0.7643737,0.08117932
1.341111,-47.93146,0.607001,0.06691296,0.7621015,0.08018366
1.363763,-49.77072,0.5658881,0.06783154,0.7594121,0.07905941
1.386414,-51.55149,0.5231373,0.06900959,0.7565053,0.07789431
1.409066,-53.2432,0.4792369,0.0704432,0.7533927,0.07668943
1.431717,-54.83326,0.4351213,0.07211781,0.7500957,0.07544749
1.4558,-56.3959,0.3891602,0.07414294,0.7464144,0.0740901
1.479882,-57.78455,0.3449723,0.07640754,0.7425727,0.07269744
1.503965,-58.97704,0.3034314,0.07888905,0.7385969,0.07127354
1.528048,-59.97297,0.2654574,0.08155427,0.7345191,0.06982351
1.552549,-60.79503,0.2311965,0.08441644,0.7302984,0.06832688
1.577051,-61.43077,0.2013867,0.08740065,0.7260287,0.06681277
1.601552,-61.89737,0.1759379,0.09047554,0.7217333,0.06528525
1.626054,-62.22101,0.1546813,0.0936084,0.7174353,0.0637484
1.652177,-62.43952,0.1362431,0.09697888,0.7128728,0.06210365
1.678299,-62.54825,0.1215195,0.1003581,0.7083444,0.06045505
1.704422,-62.56827,0.1099352,0.1037257,0.7038627,0.058805
1.730544,-62.52002,0.1010031,0.1070624,0.6994401,0.05715575
1.761664,-62.39694,0.09317961,0.1109755,0.6942621,0.05519457
1.792784,-62.21802,0.0877569,0.1148092,0.6891893,0.05323869
1.823904,-61.99697,0.08420706,0.1185527,0.6842278,0.05128943
1.855024,-61.74594,0.0821154,0.1221953,0.6793844,0.04934812
1.886143,-61.47401,0.08115332,0.1257292,0.674664,0.04741577
1.917263,-61.18596,0.08107063,0.1291523,0.6700674,0.04549272
1.948383,-60.88586,0.08168282,0.1324621,0.6655957,0.04357937
1.979503,-60.57732,0.08284222,0.1356565,0.6612501,0.04167609
2.017988,-60.18822,0.08487142,0.1394447,0.6560516,0.03933673
2.056472,-59.79309,0.08742363,0.1430544,0.6510459,0.03701335
2.094957,-59.39403,0.09038954,0.1464861,0.6462316,0.03470606
2.133442,-58.99325,0.09369418,0.1497397,0.6416082,0.03241504
2.1961,-58.34377,0.0997479,0.1546533,0.6344888,0.0287204
2.258758,-57.69533,0.1063381,0.1591061,0.6278601,0.02506865
2.321416,-57.04647,0.1132579,0.1631109,0.6217074,0.02145892
2.384074,-56.4043,0.1206484,0.1666665,0.6160274,0.01789173
2.436889,-55.8729,0.1273475,0.1693137,0.6116043,0.01491831
2.489704,-55.34489,0.1342693,0.1716533,0.6075014,0.01197439
2.542519,-54.81854,0.1413668,0.1736915,0.6037107,0.009059576
2.595334,-54.296,0.148717,0.1754296,0.6002285,0.006173934
2.648576,-53.7755,0.1564689,0.1768783,0.5970268,0.003294639
2.701818,-53.25562,0.1644422,0.1780314,0.594125,0.0004445363
2.75506,-52.73325,0.1725986,0.1788942,0.591516,-0.002376635
2.808302,-52.21048,0.181037,0.1794664,0.5891974,-0.005168555
2.863149,-51.67497,0.1901548,0.1797496,0.5871118,-0.008013486
2.917995,-51.13244,0.1995518,0.1797318,0.5853235,-0.01082735
2.972841,-50.57685,0.2091825,0.1794177,0.5838264,-0.01361013
3.027687,-50.01276,0.2192267,0.1788014,0.5826235,-0.01636081
3.08144,-49.45793,0.2296776,0.1778959,0.5817353,-0.01902426
3.135193,-48.8837,0.2405203,0.1767028,0.5811251,-0.02165601
3.188946,-48.28027,0.2517122,0.1752248,0.5807906,-0.02425558
3.242699,-47.65588,0.2635296,0.1734471,0.5807436,-0.02682096
3.294167,-47.04799,0.2757179,0.171448,0.5809817,-0.02924307
3.345635,-46.40347,0.2885041,0.16917,0.5814887,-0.0316318
3.397103,-45.70803,0.301861,0.1666124,0.5822677,-0.03398603
3.448572,-44.97375,0.3161657,0.1637508,0.5833415,-0.03630254
3.497676,-44.25016,0.3310722,0.1607124,0.5846654,-0.03847414
3.546781,-43.46574,0.3469127,0.1573859,0.5862763,-0.04060776
3.595886,-42.6011,0.363679,0.1537677,0.5881845,-0.04270142
3.644991,-41.67418,0.3818431,0.1498265,0.5904258,-0.04475042
3.692077,-40.74577,0.4010113,0.1457153,0.592924,-0.0466685
3.739162,-39.73,0.4215339,0.1412984,0.5957616,-0.04854
3.786248,-38.60845,0.4433582,0.1365801,0.5989532,-0.05036216
3.833334,-37.41524,0.4669115,0.131541,0.6025412,-0.05212939
3.879049,-36.22001,0.4916872,0.1263378,0.6064377,-0.05378784
3.924764,-34.96023,0.5177825,0.1208776,0.6107295,-0.0553893
3.97048,-33.65354,0.544848,0.1152058,0.6154119,-0.05693256
4.016195,-32.36729,0.5726855,0.1093694,0.6204828,-0.05841605
4.062413,-31.12831,0.6008607,0.1033849,0.625959,-0.05985771
4.10863,-30.05091,0.6283787,0.09740937,0.6317293,-0.06124479
4.154848,-29.24834,0.6545726,0.09153512,0.6377129,-0.06258391
4.201065,-28.72497,0.6778818,0.0858912,0.6437455,-0.06389071
4.229135,-28.54188,0.6899738,0.08262891,0.6473544,-0.06467643
4.257204,-28.50838,0.7005725,0.07950288,0.6508977,-0.06545886
4.285273,-28.63449,0.709553,0.07652915,0.6543421,-0.06624171
4.313343,-28.90687,0.7166635,0.07372768,0.6576457,-0.0670298
4.341412,-29.30951,0.7216844,0.07111567,0.6607693,-0.06782787
4.369481,-29.85214,0.7246651,0.06869835,0.6636914,-0.06863898
4.397551,-30.53032,0.7255797,0.06648281,0.6663882,-0.06946654
4.42562,-31.32317,0.7242929,0.06447906,0.6688333,-0.07031444
4.457048,-32.32197,0.7201088,0.06249605,0.6712458,-0.07129219
4.488476,-33.43371,0.7131149,0.06078838,0.6733031,-0.07230281
4.519904,-34.64352,0.7033245,0.05935775,0.6749937,-0.07334933
4.551333,-35.92805,0.690671,0.05820726,0.676307,-0.07443469
4.590932,-37.64032,0.6708514,0.05715067,0.6774267,-0.07586003
4.630532,-39.41077,0.6464919,0.05653714,0.6779434,-0.07735396
4.670132,-41.19267,0.6175022,0.05636901,0.6778586,-0.07891985
4.709732,-42.99729,0.5846767,0.05662508,0.6772082,-0.08055665
4.746738,-44.71578,0.5514605,0.05722541,0.6761282,-0.08214826
4.783744,-46.39015,0.5155591,0.05818678,0.6745931,-0.08380229
4.82075,-47.97719,0.4773427,0.05950551,0.6726248,-0.08551829
4.857756,-49.4819,0.4382352,0.06115078,0.6702765,-0.08729134
4.890305,-50.73517,0.4042625,0.06284197,0.6679404,-0.08889363
4.922854,-51.87809,0.3709362,0.06475591,0.6653703,-0.09053446
4.955402,-52.89353,0.3388401,0.06687366,0.6625975,-0.09221037
4.987951,-53.77804,0.3087133,0.06916753,0.6596598,-0.09391679
5.022132,-54.56675,0.2798815,0.07173317,0.6564386,-0.09573632
5.056314,-55.20699,0.2540894,0.07443175,0.6531112,-0.09757964
5.090495,-55.70405,0.2314613,0.07723222,0.6497118,-0.09944201
5.124676,-56.07221,0.2120965,0.08010109,0.6462749,-0.1013186
5.161237,-56.34258,0.1949277,0.08320948,0.6425921,-0.1033364
5.197797,-56.50016,0.1810235,0.08633109,0.6389281,-0.1053612
5.234358,-56.56207,0.1700114,0.08943961,0.6353067,-0.1073895
5.270919,-56.54598,0.161573,0.09251035,0.6317497,-0.1094179
5.314771,-56.44574,0.1543712,0.09611465,0.6275933,-0.111847
5.358622,-56.27581,0.149749,0.09961216,0.6235736,-0.1142691
5.402474,-56.05304,0.147204,0.1029846,0.6197051,-0.1166816
5.446326,-55.79054,0.1463538,0.1062159,0.6160009,-0.1190824
5.52402,-55.2526,0.1480031,0.1115557,0.6098718,-0.1233021
5.601714,-54.66929,0.1525635,0.116387,0.6043025,-0.1274751
5.679408,-54.07287,0.1591435,0.120701,0.5992916,-0.1315991
5.757102,-53.45447,0.1671486,0.1244885,0.5948406,-0.1356726
5.825016,-52.89207,0.1750704,0.1273612,0.5914097,-0.1391904
5.89293,-52.33083,0.1836855,0.129828,0.5883985,-0.1426678
5.960844,-51.7718,0.1928493,0.1318963,0.5857957,-0.1461048
6.028758,-51.21262,0.2024772,0.1335729,0.5835906,-0.1495014
6.077622,-50.80975,0.2096889,0.1345398,0.5822453,-0.1519203
6.126485,-50.40579,0.2171011,0.1353103,0.5810968,-0.1543182
6.175349,-49.99913,0.2246837,0.1358878,0.5801407,-0.1566954
6.224212,-49.59093,0.2324749,0.1362736,0.5793752,-0.1590515
6.273076,-49.18306,0.2405289,0.1364682,0.578799,-0.1613863
6.321939,-48.77104,0.2487721,0.136477,0.5784065,-0.1636999
6.370803,-48.35237,0.2571765,0.1363041,0.5781936,-0.1659924
6.419666,-47.92966,0.2658148,0.1359494,0.5781607,-0.1682633
6.477489,-47.43216,0.2765062,0.1352913,0.5783573,-0.1709216
6.535313,-46.92151,0.2874647,0.13439,0.578796,-0.1735494
6.593136,-46.38862,0.2985754,0.1332558,0.5794688,-0.1761466
6.650959,-45.84885,0.3101273,0.1318811,0.5803847,-0.1787115
6.705775,-45.34746,0.3217661,0.1303485,0.5814868,-0.1811116
6.76059,-44.82812,0.3336496,0.1286174,0.5827961,-0.1834824
6.815406,-44.28078,0.3456327,0.1267005,0.584304,-0.1858242
6.870221,-43.72932,0.3580553,0.1245889,0.5860232,-0.1881349
6.921614,-43.22949,0.3703626,0.122427,0.5878366,-0.1902714
6.973007,-42.7174,0.3828402,0.1201184,0.5898212,-0.1923809
7.0244,-42.18738,0.3953317,0.1176789,0.5919663,-0.1944639
7.075793,-41.66535,0.4080703,0.1151075,0.5942784,-0.1965189
7.126996,-41.17617,0.4211514,0.1124194,0.5967495,-0.1985381
7.178199,-40.69705,0.4341413,0.1096409,0.5993577,-0.2005313
7.229402,-40.23063,0.4468248,0.1067968,0.6020829,-0.2025003
7.280605,-39.80488,0.4592482,0.1039022,0.6049151,-0.2044457
7.336459,-39.4093,0.4723635,0.1007159,0.6081016,-0.2065428
7.392312,-39.0886,0.4845347,0.09754828,0.6113411,-0.2086187
7.448165,-38.86372,0.4954451,0.09444289,0.6145873,-0.2106781
7.504018,-38.75212,0.5047119,0.09144746,0.6177854,-0.2127267
7.547746,-38.74994,0.5105051,0.0892133,0.6202136,-0.2143279
7.591473,-38.83733,0.5148971,0.08709877,0.6225459,-0.2159302
7.635201,-39.02458,0.5177721,0.08512422,0.6247535,-0.2175371
7.678928,-39.30446,0.5188398,0.08331635,0.6267991,-0.2191535
7.722656,-39.66921,0.5178435,0.08169964,0.628647,-0.2207839
7.766383,-40.1312,0.5148325,0.08028626,0.6302759,-0.2224316
7.810111,-40.68997,0.5097616,0.07909118,0.6316614,-0.2241005
7.853839,-41.33135,0.5024754,0.07813226,0.6327762,-0.2257949
7.909192,-42.25098,0.4901194,0.07727328,0.6337719,-0.2279813
7.964545,-43.26592,0.4742722,0.07682929,0.6342754,-0.2302202
8.019898,-44.33945,0.4550383,0.07681485,0.6342664,-0.2325171
8.075251,-45.45829,0.4331237,0.07722193,0.6337555,-0.2348737
8.117034,-46.32315,0.4153565,0.07779789,0.6330523,-0.2366923
8.158817,-47.17168,0.3966144,0.07860588,0.6320792,-0.2385459
8.200601,-47.98401,0.3771698,0.07963795,0.6308495,-0.2404343
8.242384,-48.75489,0.3575908,0.08087496,0.6293896,-0.2423551
8.284167,-49.4788,0.3384411,0.08229527,0.6277283,-0.2443057
8.325951,-50.13382,0.31988,0.08388531,0.6258856,-0.2462843
8.367734,-50.7092,0.3021837,0.08562469,0.6238882,-0.2482882
8.409517,-51.20495,0.2857541,0.08748652,0.6217683,-0.2503137
8.454973,-51.65665,0.2696993,0.0896188,0.6193608,-0.2525375
8.500429,-52.01167,0.2555287,0.09183595,0.6168779,-0.2547785
8.545885,-52.27259,0.2432672,0.09410863,0.6143521,-0.2570328
8.59134,-52.44981,0.2330049,0.09640543,0.6118165,-0.2592961
8.640437,-52.55993,0.2241585,0.09888036,0.6091004,-0.2617462
8.689533,-52.59263,0.2173646,0.1013237,0.6064334,-0.2641987
8.738629,-52.55844,0.2124141,0.1037105,0.6038397,-0.2666499
8.787725,-52.46886,0.2091466,0.1060181,0.601341,-0.2690969
8.848479,-52.29523,0.2071492,0.1087366,0.5984057,-0.2721153
8.909232,-52.06651,0.2070498,0.1112799,0.5956647,-0.2751195
8.969986,-51.79622,0.2085429,0.1136273,0.5931357,-0.2781066
9.03074,-51.49192,0.2113435,0.1157644,0.5908304,-0.2810744
9.125274,-50.95945,0.2177342,0.1186503,0.5877032,-0.2856503
9.219809,-50.38979,0.2261928,0.1209738,0.5851549,-0.2901698
9.314344,-49.80451,0.2362992,0.1227214,0.5831915,-0.2946289
9.408879,-49.19179,0.2475605,0.1239022,0.581798,-0.2990267
9.481885,-48.69676,0.2569297,0.1244313,0.5811043,-0.3023804
9.554892,-48.19432,0.2668863,0.1246257,0.5807437,-0.3056952
9.627899,-47.68262,0.2773113,0.124494,0.5807077,-0.3089708
9.700905,-47.16517,0.2882208,0.1240424,0.5809907,-0.3122065
9.757268,-46.76743,0.2970477,0.1234773,0.581426,-0.3146766
