t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01208704,-64.5273,0.05315213,0.5960847,0.3177012,0.09920507
0.02417409,-63.96702,0.05380614,0.5959727,0.3177775,0.09841647
0.03626113,-63.41347,0.05486926,0.595779,0.3179096,0.09763476
0.04834818,-62.88333,0.05629231,0.5954972,0.3181003,0.0968598
0.06043522,-62.35408,0.05802395,0.5951263,0.3183492,0.09609127
0.07252227,-61.83065,0.06003899,0.5946685,0.3186548,0.09532919
0.08460931,-61.31265,0.06231266,0.5941228,0.319017,0.0945735
0.09669636,-60.79964,0.0648242,0.5934881,0.3194358,0.09382414
0.1201461,-59.81652,0.07030952,0.5919989,0.3204097,0.0923881
0.1435958,-58.84702,0.07655817,0.5901598,0.3215971,0.09097529
0.1670455,-57.8871,0.0835353,0.5879586,0.3229991,0.08958546
0.1904953,-56.93065,0.09120679,0.5853816,0.3246173,0.08821842
0.217792,-55.81143,0.1009942,0.5818874,0.3267761,0.08665572
0.2450888,-54.67598,0.111787,0.5778268,0.3292395,0.08512418
0.2723855,-53.50877,0.1236997,0.5731534,0.3320208,0.08362455
0.2996823,-52.28631,0.1368535,0.5678109,0.3351369,0.08215792
0.3311679,-50.76512,0.1538189,0.5607168,0.3391807,0.08050954
0.3626536,-49.07763,0.1732318,0.5524614,0.3437654,0.07891182
0.3941392,-47.13753,0.1959118,0.542778,0.3489899,0.07737174
0.4256248,-44.80409,0.2229915,0.5312813,0.354999,0.07589927
0.4485295,-42.74753,0.2464323,0.5214605,0.3599876,0.07487892
0.4714341,-40.26348,0.2740858,0.5100482,0.3656301,0.07391026
0.4943387,-37.177,0.307291,0.4966227,0.3721109,0.07300497
0.5172433,-33.24693,0.347984,0.4806526,0.3797058,0.0721799
0.5333147,-29.82176,0.3823036,0.4676358,0.3858997,0.07166087
0.5493861,-25.66275,0.4224467,0.4530037,0.393001,0.07120267
0.5654575,-20.61025,0.4691807,0.4368469,0.4012223,0.070818
0.5815289,-14.54487,0.5229782,0.4195079,0.4108184,0.07052245
0.5976003,-7.413492,0.5837256,0.4015336,0.422052,0.07033292
0.6136716,0.6100332,0.649103,0.3834992,0.435143,0.07026634
0.629743,9.054183,0.7154858,0.3658389,0.4501522,0.07033295
0.6458144,17.15387,0.7784958,0.3488011,0.4669258,0.07053299
0.6628937,24.38328,0.8367765,0.3314773,0.4862629,0.07087887
0.679973,29.71828,0.8836316,0.3149758,0.5064757,0.07133146
0.6970523,33.07848,0.9187411,0.2992815,0.526909,0.07185758
0.7141316,34.68039,0.9436596,0.2843659,0.5470259,0.07242613
0.7237187,34.98509,0.9542012,0.2763207,0.558019,0.0727532
0.7333059,34.96113,0.9627171,0.2685033,0.5687391,0.07308159
0.742893,34.66413,0.969556,0.2609076,0.5791575,0.07340867
0.7524802,34.14837,0.9750245,0.2535276,0.5892487,0.07373183
0.7620673,33.46083,0.9793893,0.2463576,0.5989953,0.07404886
0.7716544,32.62817,0.9828618,0.2393917,0.6083949,0.07435857
0.7812416,31.67359,0.9856128,0.2326244,0.6174463,0.07465983
0.7908287,30.62075,0.9877847,0.2260502,0.6261483,0.07495145
0.8026701,29.21675,0.9898366,0.2181893,0.6364153,0.07529671
0.8145114,27.71063,0.9913393,0.2106055,0.646166,0.07562472
0.8263527,26.11578,0.9924144,0.2032894,0.6554164,0.07593469
0.838194,24.45645,0.9931518,0.1962326,0.6641772,0.07622539
0.8505792,22.67737,0.9936306,0.1891201,0.672829,0.07650765
0.8629643,20.85223,0.9938707,0.1822726,0.6809835,0.07676757
0.8753495,18.98554,0.9939139,0.1756811,0.6886629,0.07700495
0.8877346,17.09548,0.9937807,0.1693376,0.6958831,0.07721908
0.9002291,15.18325,0.9934767,0.1631817,0.7027173,0.07741092
0.9127236,13.26035,0.9930222,0.1572623,0.7091246,0.07757881
0.9252181,11.32833,0.992425,0.1515719,0.7151257,0.07772284
0.9377126,9.39923,0.9916766,0.1461042,0.7207365,0.07784278
0.9501822,7.488473,0.990765,0.1408633,0.7259617,0.07793824
0.9626519,5.587608,0.9896908,0.1358319,0.7308332,0.07800995
0.9751216,3.696987,0.9884464,0.1310041,0.7353683,0.07805817
0.9875913,1.82356,0.9870103,0.1263753,0.7395806,0.07808295
0.9996653,0.03214955,0.9854139,0.1220791,0.7433639,0.07808465
1.011739,-1.740125,0.9836056,0.1179612,0.7468711,0.07806485
1.023813,-3.493393,0.9815686,0.114018,0.7501148,0.07802385
1.035887,-5.224587,0.9792761,0.1102466,0.7531054,0.07796183
1.047831,-6.912655,0.9767286,0.1066823,0.7558245,0.07787999
1.059775,-8.578238,0.9738836,0.1032809,0.7583163,0.07777814
1.071719,-10.22175,0.9707163,0.10004,0.7605903,0.07765658
1.083663,-11.84204,0.9671944,0.0969577,0.762655,0.07751556
1.099672,-13.97541,0.9618553,0.09307277,0.7651074,0.07729639
1.115682,-16.06818,0.9557476,0.0894658,0.7672171,0.07704345
1.131691,-18.12261,0.9487933,0.08613287,0.7690019,0.07675745
1.1477,-20.13789,0.940891,0.08307129,0.7704768,0.07643894
1.168966,-22.75973,0.9287792,0.07941773,0.7719822,0.07596669
1.190232,-25.31878,0.9145774,0.07622956,0.772997,0.07543945
1.211499,-27.81622,0.898005,0.0734992,0.773547,0.07485823
1.232765,-30.2691,0.8788591,0.07121373,0.7736595,0.07422444
1.256573,-33.00658,0.8543452,0.06915908,0.7733024,0.07345493
1.280381,-35.70005,0.8257302,0.06763654,0.7724427,0.07262082
1.304189,-38.33404,0.7923029,0.06664069,0.7710905,0.07172128
