t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.02586417,-61.70717,0.05391215,0.5959542,0.3177868,0.0983361
0.05172833,-58.4968,0.05675211,0.5954429,0.3181225,0.09675664
0.0775925,-55.48995,0.06136778,0.5945495,0.3186932,0.09525788
0.1034567,-52.6946,0.06775989,0.5932095,0.3195084,0.09383483
0.1262518,-50.36512,0.07487236,0.5916118,0.3204324,0.09263917
0.149047,-48.15469,0.08333627,0.5896047,0.3215458,0.0914955
0.1718421,-46.04956,0.09314391,0.5871631,0.322848,0.09040126
0.1946373,-44.03366,0.1042824,0.5842674,0.3243372,0.08935422
0.2359167,-40.53468,0.1277438,0.5778325,0.3275011,0.08757164
0.2771962,-37.1449,0.1555053,0.5698097,0.3312733,0.08593125
0.3184757,-33.70383,0.1877558,0.5601629,0.3356821,0.08443403
0.3597551,-29.94471,0.2247195,0.5489004,0.3407736,0.0830859
0.3989169,-25.81111,0.264668,0.5367438,0.3463239,0.08196015
0.4380787,-20.79415,0.3105069,0.5231989,0.3527384,0.08101303
0.4772405,-14.54934,0.363312,0.5084756,0.3602321,0.08028453
0.5164023,-6.811979,0.424077,0.4929654,0.3690883,0.07982867
0.5400378,-1.364233,0.4648259,0.4834389,0.3752267,0.07971195
0.5636732,4.583269,0.5082571,0.473908,0.3820344,0.07973056
0.5873087,10.83644,0.5536793,0.4644496,0.3895423,0.07989374
0.6109442,17.08838,0.6000568,0.4551152,0.397744,0.08020495
0.6266058,21.04501,0.6306636,0.4490129,0.4035379,0.08049109
0.6422673,24.71451,0.6606906,0.4429826,0.4095865,0.08083701
0.6579289,27.9981,0.6897585,0.4370271,0.4158553,0.08123777
0.6735905,30.84272,0.7175212,0.4311476,0.4223012,0.08168666
0.6855152,32.70551,0.7376037,0.4267224,0.4272984,0.08205584
0.6974399,34.2948,0.7566906,0.4223414,0.4323537,0.08244558
0.7093646,35.61452,0.7747318,0.4180046,0.4374503,0.08285297
0.7212894,36.69596,0.7916905,0.4137118,0.4425696,0.08327468
0.7332141,37.58164,0.8075528,0.4094627,0.4476943,0.08370749
0.7451388,38.27682,0.8223467,0.4052569,0.4528148,0.08414969
0.7570635,38.79731,0.8361065,0.4010942,0.4579221,0.08459955
0.7689883,39.18548,0.8488652,0.396974,0.4630049,0.08505485
0.7808689,39.48132,0.8606235,0.3929112,0.4680351,0.08551192
0.7927495,39.68328,0.871492,0.3888898,0.4730289,0.0859719
0.8046302,39.80003,0.8815273,0.3849096,0.477983,0.08643404
0.8165108,39.85702,0.8907805,0.3809701,0.4828922,0.08689721
0.8293353,39.87696,0.8999504,0.376763,0.4881365,0.08739721
0.8421597,39.84583,0.9083392,0.3726023,0.4933235,0.08789708
0.8549841,39.76615,0.9160102,0.3684877,0.4984521,0.08839643
0.8678085,39.65382,0.9230202,0.3644186,0.5035196,0.08889451
0.8825558,39.50226,0.9303338,0.359795,0.5092689,0.08946491
0.8973032,39.31417,0.9369236,0.3552302,0.5149357,0.09003273
0.9120505,39.08768,0.9428605,0.3507235,0.52052,0.09059768
0.9267978,38.83713,0.9482072,0.346274,0.5260202,0.09115908
0.943663,38.54025,0.9536719,0.341255,0.5322051,0.09179589
0.9605283,38.20924,0.9585195,0.336309,0.5382808,0.09242732
0.9773935,37.83593,0.9628202,0.3314349,0.5442484,0.09305321
0.9942587,37.44277,0.9666344,0.3266317,0.5501064,0.09367262
1.011611,37.04304,0.9701074,0.3217628,0.5560173,0.09430216
1.028963,36.61138,0.9731776,0.3169669,0.5618149,0.09492442
1.046315,36.13465,0.9758923,0.3122427,0.5675016,0.0955394
1.063667,35.6437,0.978291,0.3075894,0.5730754,0.09614602
1.080215,35.18899,0.9803164,0.3032166,0.5782844,0.09671582
1.096764,34.70871,0.9821163,0.2989064,0.583394,0.09727781
1.113312,34.19201,0.9837162,0.2946578,0.5884066,0.09783206
1.12986,33.66459,0.9851367,0.2904701,0.5933208,0.0983777
1.145952,33.1637,0.9863631,0.2864556,0.5980038,0.09889924
1.162043,32.64303,0.9874546,0.282497,0.6025969,0.09941251
1.178134,32.09411,0.9884258,0.2785936,0.6071021,0.09991755
1.194225,31.53663,0.9892882,0.2747447,0.6115186,0.1004137
1.210444,30.98494,0.9900577,0.2709195,0.61588,0.1009041
1.226663,30.41673,0.9907385,0.2671482,0.6201545,0.1013855
1.242882,29.82399,0.99134,0.2634299,0.6243441,0.1018577
1.259101,29.22453,0.9918693,0.2597641,0.6284483,0.1023203
1.27551,28.62868,0.9923375,0.2561078,0.6325135,0.1027779
1.291919,28.01874,0.9927459,0.2525038,0.6364946,0.1032256
1.308328,27.3871,0.9931007,0.2489511,0.6403936,0.1036634
1.324737,26.75036,0.9934059,0.2454493,0.6442102,0.1040908
1.341279,26.1195,0.9936671,0.2419699,0.6479742,0.1045106
1.35782,25.47694,0.9938869,0.2385407,0.6516577,0.1049198
1.374362,24.81578,0.9940694,0.235161,0.6552628,0.1053186
1.390903,24.15097,0.9942167,0.2318302,0.6587894,0.1057064
1.407596,23.49101,0.9943317,0.2285179,0.6622685,0.1060861
1.424288,22.82162,0.9944165,0.2252541,0.6656709,0.1064547
1.44098,22.13662,0.9944737,0.222038,0.6689983,0.1068123
1.457673,21.44929,0.9945044,0.218869,0.672251,0.1071585
1.474533,20.76573,0.994509,0.2157154,0.6754606,0.1074961
1.491394,20.07482,0.9944901,0.2126087,0.6785971,0.1078221
1.508254,19.37104,0.9944491,0.2095481,0.6816622,0.1081366
1.525115,18.66612,0.9943862,0.2065331,0.6846561,0.1084392
1.542127,17.96526,0.9943005,0.2035366,0.687605,0.1087321
1.559139,17.25896,0.9941944,0.2005853,0.6904845,0.1090131
1.576151,16.54235,0.9940691,0.1976786,0.6932963,0.1092821
1.593163,15.82566,0.993924,0.194816,0.6960406,0.109539
1.610287,15.11419,0.9937572,0.1919784,0.6987354,0.109785
1.627411,14.399,0.9935714,0.1891842,0.7013647,0.1100188
1.644536,13.67591,0.9933671,0.1864329,0.7039301,0.1102404
1.66166,12.95364,0.9931433,0.183724,0.706432,0.1104497
1.678836,12.23853,0.9928982,0.181049,0.7088781,0.1106469
1.696012,11.52125,0.9926337,0.1784156,0.7112631,0.1108318
1.713187,10.79829,0.9923501,0.1758233,0.7135882,0.1110046
1.730363,10.07686,0.992046,0.1732714,0.7158542,0.1111649
1.747497,9.365744,0.991721,0.1707658,0.7180559,0.1113123
1.764631,8.653793,0.9913752,0.1682996,0.7202011,0.1114475
1.781764,7.938164,0.9910086,0.1658723,0.722291,0.1115706
1.798898,7.224623,0.9906199,0.1634835,0.7243262,0.1116815
1.815845,6.526415,0.9902119,0.1611581,0.7262858,0.111779
1.832792,5.828484,0.9897813,0.1588696,0.7281939,0.1118647
1.849739,5.128648,0.9893278,0.1566174,0.7300517,0.1119386
1.866687,4.431253,0.9888498,0.1544013,0.7318597,0.1120007
1.88321,3.757687,0.9883586,0.1522749,0.7335751,0.1120498
1.899734,3.085243,0.9878428,0.150182,0.7352449,0.1120878
1.916257,2.412394,0.9873021,0.1481222,0.7368701,0.1121147
1.932781,1.742129,0.9867349,0.1460953,0.7384512,0.1121306
1.948436,1.112078,0.9861716,0.144205,0.739909,0.1121353
1.964092,0.4836698,0.985583,0.1423436,0.7413286,0.1121302
1.979748,-0.1439927,0.9849686,0.1405108,0.7427107,0.1121153
1.995404,-0.7691848,0.9843271,0.1387065,0.7440557,0.1120907
2.00903,-1.310022,0.9837457,0.1371592,0.7451966,0.1120612
2.022656,-1.84922,0.9831424,0.135633,0.7463103,0.1120244
2.036282,-2.38709,0.9825169,0.1341279,0.7473971,0.1119803
2.049908,-2.923028,0.9818683,0.1326437,0.7484575,0.1119289
2.065909,-3.548831,0.9810757,0.1309273,0.7496694,0.1118592
2.081911,-4.172264,0.9802493,0.1292394,0.7508459,0.1117795
2.097913,-4.794073,0.9793882,0.1275796,0.7519876,0.1116899
2.113914,-5.412987,0.9784908,0.1259478,0.7530951,0.1115904
2.132332,-6.119629,0.9774105,0.1241041,0.7543277,0.1114636
2.150749,-6.823226,0.9762788,0.1222969,0.7555165,0.1113238
2.169167,-7.525208,0.9750944,0.1205259,0.7566623,0.1111712
2.187584,-8.223117,0.9738542,0.1187909,0.7577658,0.1110058
2.208035,-8.98989,0.9724074,0.1169063,0.7589421,0.110807
2.228485,-9.753102,0.9708869,0.1150652,0.7600681,0.1105926
2.248936,-10.51485,0.9692908,0.1132674,0.7611451,0.1103629
2.269387,-11.2714,0.9676138,0.1115126,0.7621737,0.1101176
2.291879,-12.09281,0.9656695,0.1096321,0.7632496,0.10983
2.314371,-12.91017,0.9636202,0.1078028,0.7642695,0.109524
2.336863,-13.72622,0.9614631,0.1060241,0.7652348,0.1092
2.359356,-14.53596,0.9591903,0.1042959,0.766146,0.1088577
2.384101,-15.41367,0.9565461,0.1024528,0.7670867,0.1084601
2.408846,-16.28684,0.9537512,0.1006697,0.7679651,0.108041
2.433591,-17.1587,0.9508013,0.09894614,0.7687826,0.1076006
2.458337,-18.02312,0.9476844,0.09728188,0.7695402,0.1071389
2.485855,-18.96918,0.9440074,0.09550071,0.7703129,0.1066003
2.513373,-19.91001,0.9401079,0.09379155,0.7710149,0.1060359
2.540892,-20.84901,0.9359783,0.09215359,0.771648,0.1054461
2.56841,-21.77961,0.9316014,0.0905867,0.7722132,0.1048308
2.600014,-22.83269,0.926249,0.08887453,0.7727797,0.1040927
2.631617,-23.87903,0.920542,0.08725415,0.773261,0.1033217
