t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.02814573,-62.51194,0.0537334,0.5959847,0.3177667,0.09817778
0.05629147,-60.01425,0.05604711,0.5955754,0.3180391,0.09642615
0.0844372,-57.64654,0.05978685,0.5948725,0.3185006,0.09474343
0.1125829,-55.42571,0.06492828,0.5938301,0.3191604,0.09312613
0.1407287,-53.30591,0.07144813,0.5924113,0.3200217,0.09157019
0.1688744,-51.28428,0.07929913,0.5906031,0.3210809,0.09007294
0.1970201,-49.34795,0.0884689,0.5883791,0.3223382,0.08863181
0.2251659,-47.48113,0.09894677,0.5857145,0.3237933,0.08724457
0.2735373,-44.36549,0.119952,0.5800478,0.3267532,0.08498069
0.3219088,-41.29195,0.1449082,0.5728852,0.33031,0.08286671
0.3702803,-38.10852,0.1741814,0.56407,0.3345086,0.08090668
0.4186517,-34.54937,0.2082403,0.5534463,0.3394165,0.07911051
0.4649691,-30.50489,0.2462466,0.5414141,0.3449061,0.07756637
0.5112865,-25.41914,0.2911954,0.5273148,0.3513773,0.07623219
0.5576039,-18.79231,0.3449927,0.5111945,0.3591396,0.07516509
0.6039213,-10.16255,0.4099146,0.4935162,0.3686455,0.07444935
0.6221,-6.142299,0.4388855,0.4863255,0.372972,0.07428704
0.6402788,-1.764964,0.4697604,0.4790754,0.3776809,0.07420122
0.6584575,2.924074,0.5023764,0.4718147,0.3827985,0.07419789
0.6766362,7.838634,0.5364375,0.4645829,0.3883423,0.07428189
0.694815,12.8548,0.5715106,0.4574099,0.3943185,0.07445632
0.7129937,17.7931,0.6070138,0.450315,0.4007152,0.07472147
0.7311724,22.46641,0.6423097,0.4433106,0.4075028,0.07507441
0.7493511,26.70486,0.6767358,0.4364039,0.4146326,0.07550859
0.7615697,29.23936,0.6990594,0.4318182,0.4195847,0.07584126
0.7737883,31.48298,0.7205498,0.4272785,0.4246419,0.07620309
0.7860068,33.41875,0.7410845,0.4227849,0.4297834,0.07659068
0.7982254,35.05675,0.7605629,0.4183376,0.4349863,0.07700012
0.810444,36.42667,0.7789139,0.4139363,0.4402277,0.07742733
0.8226625,37.53289,0.7961217,0.4095807,0.4454922,0.07786964
0.8348811,38.39208,0.8121891,0.4052706,0.4507655,0.07832443
0.8470997,39.05335,0.8271243,0.4010056,0.4560308,0.07878852
0.8590832,39.56041,0.8406984,0.3968661,0.4611731,0.07924996
0.8710667,39.92896,0.8532662,0.3927691,0.4662887,0.07971661
0.8830502,40.17292,0.8648829,0.3887144,0.4713718,0.08018729
0.8950337,40.32818,0.8755982,0.3847016,0.4764147,0.08066037
0.9073028,40.42859,0.8856911,0.380636,0.4815297,0.08114575
0.9195719,40.46394,0.8949636,0.3766134,0.4865951,0.08163193
0.9318409,40.43975,0.9034772,0.3726334,0.491609,0.08211836
0.94411,40.37494,0.9112871,0.3686955,0.4965682,0.08260423
0.9580154,40.27267,0.9193555,0.3642827,0.5021195,0.08315332
0.9719208,40.13029,0.9266662,0.3599229,0.5075976,0.08370065
0.9858262,39.94808,0.9332892,0.3556153,0.5130021,0.08424589
0.9997316,39.73982,0.9392866,0.3513595,0.5183313,0.08478837
1.015978,39.48085,0.9455776,0.3464519,0.5244599,0.08541787
1.032224,39.18794,0.9511788,0.341613,0.5304856,0.08604281
1.04847,38.85613,0.956166,0.3368419,0.5364091,0.08666295
1.064716,38.50265,0.9606052,0.3321377,0.5422289,0.08727748
1.082449,38.11504,0.9648948,0.3270782,0.5484616,0.08794091
1.100182,37.6936,0.9686734,0.3220961,0.5545732,0.08859708
1.117915,37.22589,0.9720026,0.3171901,0.560566,0.08924595
1.135648,36.74142,0.9749345,0.3123593,0.5664383,0.08988639
1.152831,36.28384,0.9774394,0.3077491,0.5720113,0.09049787
1.170013,35.79731,0.9796545,0.3032073,0.5774747,0.09110118
1.187195,35.26922,0.9816138,0.298733,0.5828309,0.09169636
1.204377,34.72898,0.9833451,0.2943251,0.5880784,0.09228241
1.220773,34.22676,0.9848071,0.29018,0.5929831,0.09283224
1.237169,33.70247,0.9861058,0.2860936,0.5977922,0.09337361
1.253566,33.14696,0.9872593,0.2820653,0.6025078,0.09390655
